return_id,order_id,product_id,return_date,return_reason,return_status,refund_amount
RET0074,ORD00483,PROD193,2022-11-05,Wrong Item,Refunded,9348.55
RET0075,ORD00433,PROD186,2022-11-05,Damaged,Refunded,5419.22
RET0076,ORD01422,PROD191,2022-11-15,Not As Described,Refunded,1241.37
RET0077,ORD00501,PROD059,2022-11-15,Wrong Item,Replacement Sent,4707.57
RET0078,ORD00878,PROD101,2022-11-22,Changed Mind,Refunded,5419.22
RET0079,ORD01274,PROD088,2022-11-26,Not As Described,Pending,8756.6
RET0080,ORD00564,PROD032,2022-11-29,Wrong Item,Replacement Sent,7401.08
RET0081,ORD00130,PROD129,2022-12-03,Wrong Item,Pending,9052.85
RET0082,ORD00908,PROD056,2022-12-03,Not As Described,Pending,1591.15
RET0083,ORD00718,PROD199,2022-12-10,Damaged,Pending,5721.59
RET0084,ORD00228,PROD121,2022-12-13,Changed Mind,Pending,3633.82
RET0085,ORD01027,PROD007,2022-12-17,Damaged,Replacement Sent,1764.7
RET0086,ORD00061,PROD078,2022-12-17,Wrong Item,Replacement Sent,7270.25
RET0087,ORD01380,PROD118,2022-12-23,Damaged,Replacement Sent,3660.72
RET0088,ORD00007,PROD011,2022-12-27,Wrong Item,Replacement Sent,4504.33
RET0089,ORD00919,PROD182,2022-12-27,Damaged,Refunded,1444.47
RET0090,ORD01359,PROD042,2022-12-27,Damaged,Refunded,4381.66
RET0091,ORD00717,PROD050,2023-01-06,Damaged,Pending,9704.61
RET0092,ORD00792,PROD117,2023-01-10,Wrong Item,Replacement Sent,6510.25
RET0093,ORD00753,PROD196,2023-01-10,Late Delivery,Pending,5815.96
RET0094,ORD01097,PROD032,2023-01-10,Damaged,Replacement Sent,263.79
RET0095,ORD00291,PROD168,2023-01-20,Damaged,Replacement Sent,6694.78
RET0096,ORD00689,PROD177,2023-01-24,Wrong Item,Refunded,2628.69
RET0097,ORD00672,PROD042,2023-01-24,Wrong Item,Refunded,8277.6
RET0098,ORD00535,PROD093,2023-01-24,Changed Mind,Refunded,9487.0
RET0099,ORD01046,PROD006,2023-01-24,Changed Mind,Pending,5419.22
RET0100,ORD00489,PROD097,2023-01-24,Not As Described,Replacement Sent,5651.17
RET0101,ORD01037,PROD131,2023-02-10,Changed Mind,Refunded,2677.52
RET0102,ORD00873,PROD048,2023-02-13,Late Delivery,Refunded,4477.13
RET0103,ORD01144,PROD029,2023-02-17,Damaged,Replacement Sent,2854.84
RET0104,ORD00770,PROD188,2023-02-20,Wrong Item,Replacement Sent,4255.47
RET0105,ORD00181,PROD036,2023-02-24,Late Delivery,Replacement Sent,3055.78
RET0106,ORD00289,PROD002,2023-02-27,Late Delivery,Pending,6239.04
RET0107,ORD00407,PROD057,2023-03-03,Damaged,Pending,5884.96
RET0108,ORD01393,PROD095,2023-03-03,Not As Described,Pending,9086.14
RET0109,ORD00698,PROD132,2023-03-10,Late Delivery,Refunded,2200.98
RET0110,ORD01068,PROD031,2023-03-10,Damaged,Refunded,5277.98
RET0111,ORD00997,PROD200,2023-03-17,Late Delivery,Refunded,453.58
RET0112,ORD01249,PROD062,2023-03-17,Changed Mind,Refunded,5419.22
RET0113,ORD00005,PROD198,2023-03-17,Changed Mind,Refunded,7319.5
RET0114,ORD00693,PROD158,2023-03-17,Late Delivery,Replacement Sent,5611.16
RET0115,ORD00010,PROD162,2023-03-17,Changed Mind,Pending,2214.35
RET0116,ORD00982,PROD169,2023-03-17,Damaged,Replacement Sent,9197.82
RET0117,ORD00422,PROD114,2023-03-17,Changed Mind,Refunded,126.78
RET0118,ORD00086,PROD159,2023-03-17,Wrong Item,Replacement Sent,8770.16
RET0119,ORD01439,PROD170,2023-03-17,Not As Described,Refunded,8630.18
RET0120,ORD01222,PROD085,2023-04-17,Changed Mind,Replacement Sent,1765.15
RET0121,ORD00127,PROD022,2023-04-17,Not As Described,Replacement Sent,6892.59
RET0122,ORD00986,PROD160,2023-04-24,Late Delivery,Pending,2908.07
RET0123,ORD00261,PROD175,2023-04-27,Wrong Item,Refunded,9242.32
RET0124,ORD01159,PROD111,2023-05-01,Wrong Item,Pending,5777.82
RET0125,ORD00513,PROD163,2023-05-01,Damaged,Refunded,1036.95
RET0126,ORD01399,PROD047,2023-05-01,Damaged,Refunded,9965.81
RET0127,ORD01378,PROD180,2023-05-01,Not As Described,Replacement Sent,8548.61
RET0128,ORD01084,PROD068,2023-05-15,Not As Described,Refunded,451.81
RET0129,ORD00643,PROD096,2023-05-18,Late Delivery,Refunded,7327.02
RET0130,ORD00792,PROD039,2023-05-18,Wrong Item,Replacement Sent,6698.65
RET0131,ORD00509,PROD068,2023-05-25,Wrong Item,Refunded,5019.41
RET0132,ORD00793,PROD009,2023-05-28,Changed Mind,Replacement Sent,5197.76
RET0133,ORD00873,PROD094,2023-06-01,Late Delivery,Pending,8639.97
RET0134,ORD00828,PROD093,2023-06-04,Wrong Item,Refunded,9446.11
RET0135,ORD00906,PROD130,2023-06-04,Late Delivery,Replacement Sent,7786.17
RET0136,ORD00397,PROD145,2023-06-11,Changed Mind,Refunded,9155.21
RET0137,ORD00201,PROD120,2023-06-15,Wrong Item,Pending,8247.11
RET0138,ORD00438,PROD045,2023-06-15,Not As Described,Replacement Sent,6457.61
RET0139,ORD01233,PROD060,2023-06-22,Wrong Item,Replacement Sent,9331.1
RET0140,ORD00829,PROD196,2023-06-25,Changed Mind,Replacement Sent,5419.22
RET0141,ORD00366,PROD093,2023-06-29,Late Delivery,Refunded,1406.99
RET0142,ORD01413,PROD153,2023-07-02,Not As Described,Replacement Sent,3645.48
RET0143,ORD01064,PROD017,2023-07-06,Wrong Item,Pending,5491.67
RET0144,ORD00813,PROD146,2023-07-06,Damaged,Replacement Sent,5232.6
RET0145,ORD00506,PROD171,2023-07-06,Changed Mind,Pending,1058.48
RET0146,ORD00419,PROD160,2023-07-16,Changed Mind,Pending,2873.41
RET0147,ORD01116,PROD132,2023-07-19,Damaged,Refunded,7041.79
RET0148,ORD01183,PROD133,2023-07-23,Not As Described,Replacement Sent,6589.32
RET0149,ORD00940,PROD081,2023-07-23,Not As Described,Pending,8812.61
RET0150,ORD00685,PROD199,2023-07-30,Changed Mind,Replacement Sent,1792.78
RET0151,ORD00631,PROD092,2023-07-30,Changed Mind,Refunded,9707.74
RET0152,ORD01003,PROD041,2023-08-06,Changed Mind,Pending,5419.22
RET0153,ORD00048,PROD044,2023-08-09,Late Delivery,Pending,2858.73
RET0154,ORD00242,PROD154,2023-08-09,Wrong Item,Replacement Sent,9323.49
RET0155,ORD01370,PROD040,2023-08-09,Changed Mind,Replacement Sent,7408.8
RET0156,ORD00163,PROD157,2023-08-20,Changed Mind,Pending,2997.77
RET0157,ORD00372,PROD113,2023-08-20,Damaged,Pending,8168.05
RET0158,ORD00172,PROD124,2023-08-26,Wrong Item,Refunded,8988.91
RET0159,ORD00589,PROD009,2023-08-30,Damaged,Refunded,629.06
RET0160,ORD00404,PROD047,2023-09-02,Wrong Item,Replacement Sent,4411.2
RET0161,ORD01456,PROD094,2023-09-06,Late Delivery,Replacement Sent,1586.29
RET0162,ORD00735,PROD162,2023-09-06,Late Delivery,Replacement Sent,925.78
RET0163,ORD01245,PROD150,2023-09-13,Damaged,Replacement Sent,474.19
RET0164,ORD00391,PROD142,2023-09-13,Wrong Item,Replacement Sent,8024.63
RET0165,ORD01266,PROD073,2023-09-13,Changed Mind,Refunded,8514.16
RET0166,ORD00466,PROD091,2023-09-23,Late Delivery,Pending,5590.15
RET0167,ORD01168,PROD144,2023-09-27,Not As Described,Pending,4153.47
RET0168,ORD00532,PROD082,2023-09-30,Damaged,Pending,1868.14
RET0169,ORD00331,PROD081,2023-10-04,Late Delivery,Pending,5886.26
RET0170,ORD00912,PROD073,2023-10-07,Changed Mind,Pending,6143.14
RET0171,ORD00349,PROD035,2023-10-11,Wrong Item,Pending,1713.59
RET0172,ORD01049,PROD041,2023-10-11,Late Delivery,Pending,1014.37
RET0173,ORD00306,PROD010,2023-10-17,Damaged,Replacement Sent,4742.83
RET0174,ORD01091,PROD083,2023-10-21,Not As Described,Replacement Sent,1649.09
RET0175,ORD01047,PROD076,2023-10-24,Late Delivery,Refunded,787.38
RET0176,ORD00247,PROD187,2023-10-28,Late Delivery,Pending,8072.34
RET0177,ORD00720,PROD129,2023-10-31,Wrong Item,Refunded,1394.81
RET0178,ORD00854,PROD186,2023-10-31,Damaged,Replacement Sent,1901.91
RET0179,ORD00754,PROD116,2023-11-07,Late Delivery,Replacement Sent,9041.11
RET0180,ORD01280,PROD046,2023-11-11,Wrong Item,Replacement Sent,6677.66
RET0181,ORD00783,PROD148,2023-11-11,Not As Described,Replacement Sent,8599.33
RET0182,ORD00029,PROD029,2023-11-18,Changed Mind,Replacement Sent,2925.35
RET0183,ORD00602,PROD048,2023-11-21,Late Delivery,Refunded,8103.84
RET0184,ORD00111,PROD154,2023-11-25,Late Delivery,Pending,7109.04
RET0185,ORD00360,PROD130,2023-11-28,Late Delivery,Pending,7693.16
RET0186,ORD01138,PROD169,2023-12-02,Late Delivery,Replacement Sent,7617.54
RET0187,ORD01348,PROD177,2023-12-05,Late Delivery,Refunded,1461.32
RET0188,ORD00952,PROD175,2023-12-08,Late Delivery,Refunded,2165.71
RET0189,ORD00577,PROD145,2023-12-12,Changed Mind,Pending,5600.52
RET0190,ORD00625,PROD103,2023-12-15,Damaged,Pending,5419.22
RET0191,ORD00943,PROD115,2023-12-15,Not As Described,Replacement Sent,5419.22
RET0192,ORD00952,PROD062,2023-12-22,Changed Mind,Pending,2888.37
RET0193,ORD00039,PROD064,2023-12-22,Late Delivery,Replacement Sent,3603.07
RET0194,ORD00788,PROD167,2023-12-22,Damaged,Pending,6283.79
RET0195,ORD00575,PROD094,2024-01-02,Not As Described,Pending,6829.54
RET0196,ORD01112,PROD174,2024-01-05,Changed Mind,Refunded,7013.44
RET0197,ORD00162,PROD176,2024-01-05,Late Delivery,Pending,832.91
RET0198,ORD00422,PROD061,2024-01-12,Late Delivery,Pending,1005.95
RET0199,ORD00491,PROD117,2024-01-12,Late Delivery,Replacement Sent,4689.17
RET0200,ORD00691,PROD008,2024-01-12,Damaged,Refunded,868.4
RET0201,ORD01024,PROD162,2024-01-22,Not As Described,Pending,4423.9
RET0202,ORD01071,PROD110,2024-01-26,Changed Mind,Pending,3192.82
RET0203,ORD00325,PROD192,2024-01-29,Damaged,Refunded,5970.66
RET0204,ORD01266,PROD056,2024-02-02,Not As Described,Replacement Sent,1997.41
RET0205,ORD01207,PROD038,2024-02-02,Not As Described,Pending,8502.72
RET0206,ORD00318,PROD053,2024-02-02,Wrong Item,Refunded,4676.72
RET0207,ORD00550,PROD014,2024-02-02,Late Delivery,Pending,2280.04
RET0208,ORD00582,PROD001,2024-02-16,Wrong Item,Replacement Sent,3046.66
RET0209,ORD00268,PROD161,2024-02-19,Damaged,Replacement Sent,6707.67
RET0210,ORD00475,PROD020,2024-02-23,Damaged,Pending,6713.0
RET0211,ORD00666,PROD113,2024-02-23,Not As Described,Refunded,8327.15
RET0212,ORD00091,PROD022,2024-02-23,Changed Mind,Refunded,4506.45
RET0213,ORD00832,PROD156,2024-02-23,Wrong Item,Replacement Sent,1062.94
RET0214,ORD01119,PROD189,2024-03-08,Damaged,Refunded,2978.77
RET0215,ORD01059,PROD091,2024-03-11,Wrong Item,Refunded,2873.69
RET0216,ORD00640,PROD092,2024-03-14,Wrong Item,Replacement Sent,9515.98
RET0217,ORD00441,PROD123,2024-03-18,Changed Mind,Replacement Sent,8242.1
RET0218,ORD01213,PROD111,2024-03-21,Changed Mind,Replacement Sent,2734.31
RET0219,ORD00508,PROD049,2024-03-25,Not As Described,Replacement Sent,7888.33
RET0220,ORD01210,PROD034,2024-03-28,Wrong Item,Refunded,7169.26
RET0221,ORD00457,PROD153,2024-04-01,Late Delivery,Pending,3146.68
RET0222,ORD01365,PROD096,2024-04-01,Wrong Item,Refunded,2260.24
RET0223,ORD01274,PROD167,2024-04-01,Damaged,Refunded,5419.22
RET0224,ORD00798,PROD031,2024-04-11,Changed Mind,Refunded,1480.65
RET0225,ORD00055,PROD101,2024-04-11,Wrong Item,Refunded,3918.07
RET0226,ORD00803,PROD106,2024-04-18,Changed Mind,Refunded,9346.81
RET0227,ORD01434,PROD033,2024-04-22,Late Delivery,Replacement Sent,6402.91
RET0228,ORD00297,PROD019,2024-04-25,Changed Mind,Replacement Sent,4824.71
RET0229,ORD00865,PROD090,2024-04-25,Wrong Item,Refunded,4729.01
RET0230,ORD00403,PROD177,2024-05-02,Changed Mind,Pending,4659.77
RET0231,ORD01112,PROD109,2024-05-02,Not As Described,Refunded,3849.0
RET0232,ORD01441,PROD163,2024-05-02,Changed Mind,Pending,3833.59
RET0233,ORD00303,PROD122,2024-05-12,Damaged,Refunded,8063.65
RET0234,ORD00472,PROD070,2024-05-16,Wrong Item,Pending,7172.8
RET0235,ORD01271,PROD143,2024-05-19,Wrong Item,Replacement Sent,7055.93
RET0236,ORD00225,PROD190,2024-05-23,Damaged,Refunded,9177.22
RET0237,ORD01228,PROD097,2024-05-26,Late Delivery,Replacement Sent,7867.27
RET0238,ORD00282,PROD053,2024-05-30,Not As Described,Replacement Sent,9104.45
RET0239,ORD01199,PROD128,2024-06-02,Damaged,Refunded,3087.39
RET0240,ORD00606,PROD073,2024-06-06,Changed Mind,Refunded,1195.01
RET0241,ORD00964,PROD126,2024-06-06,Late Delivery,Replacement Sent,2632.94
RET0242,ORD01431,PROD014,2024-06-06,Late Delivery,Refunded,7047.24
RET0243,ORD01029,PROD061,2024-06-16,Late Delivery,Refunded,2908.58
RET0244,ORD01408,PROD165,2024-06-19,Late Delivery,Pending,6942.71
RET0245,ORD01347,PROD005,2024-06-23,Damaged,Replacement Sent,3131.03
RET0246,ORD00965,PROD055,2024-06-23,Changed Mind,Pending,261.59
RET0247,ORD00571,PROD106,2024-06-30,Not As Described,Refunded,1997.32
RET0248,ORD00727,PROD101,2024-07-03,Damaged,Replacement Sent,524.74
RET0249,ORD00526,PROD063,2024-07-07,Wrong Item,Pending,8443.6
RET0250,ORD00738,PROD133,2024-07-10,Not As Described,Pending,6219.68
RET0251,ORD00860,PROD110,2024-07-14,Not As Described,Refunded,4282.44
RET0252,ORD01468,PROD171,2024-07-17,Wrong Item,Pending,2998.99
RET0253,ORD01393,PROD181,2024-07-21,Wrong Item,Refunded,3294.56
RET0254,ORD01454,PROD014,2024-07-24,Late Delivery,Replacement Sent,5415.61
RET0255,ORD00031,PROD033,2024-07-24,Damaged,Replacement Sent,4186.11
RET0256,ORD00394,PROD099,2024-07-31,Wrong Item,Pending,4627.1
RET0257,ORD01360,PROD161,2024-08-04,Wrong Item,Replacement Sent,460.03
RET0258,ORD00250,PROD131,2024-08-07,Damaged,Pending,5435.19
RET0259,ORD01330,PROD117,2024-08-10,Late Delivery,Refunded,1003.26
RET0260,ORD01302,PROD030,2024-08-14,Late Delivery,Replacement Sent,5419.22
RET0261,ORD01112,PROD175,2024-08-17,Damaged,Refunded,3385.83
RET0262,ORD00843,PROD117,2024-08-21,Not As Described,Refunded,9583.35
RET0263,ORD01033,PROD086,2024-08-24,Wrong Item,Pending,2796.62
RET0264,ORD00790,PROD129,2024-08-28,Damaged,Pending,1211.38
RET0265,ORD00739,PROD067,2024-08-31,Changed Mind,Pending,5419.22
RET0266,ORD01193,PROD006,2024-08-31,Not As Described,Refunded,7014.75
RET0267,ORD00375,PROD086,2024-09-07,Wrong Item,Refunded,1835.06
RET0268,ORD00973,PROD058,2024-09-07,Wrong Item,Replacement Sent,5419.22
RET0269,ORD01224,PROD196,2024-09-14,Damaged,Pending,5653.29
RET0270,ORD01223,PROD018,2024-09-18,Damaged,Replacement Sent,125.54
RET0271,ORD00637,PROD137,2024-09-18,Wrong Item,Refunded,7931.65
RET0272,ORD01058,PROD161,2024-09-24,Late Delivery,Refunded,7597.17
RET0273,ORD00234,PROD142,2024-09-28,Wrong Item,Pending,3662.78
RET0274,ORD01293,PROD105,2024-10-01,Not As Described,Replacement Sent,3632.18
RET0275,ORD00362,PROD085,2024-10-01,Damaged,Refunded,9140.47
RET0276,ORD01242,PROD140,2024-10-08,Damaged,Pending,7775.93
RET0277,ORD01313,PROD084,2024-10-12,Damaged,Replacement Sent,794.07
RET0278,ORD00845,PROD047,2024-10-15,Changed Mind,Refunded,1200.98
RET0279,ORD00604,PROD048,2024-10-19,Changed Mind,Refunded,3294.27
RET0280,ORD00660,PROD130,2024-10-22,Changed Mind,Replacement Sent,5419.22
RET0281,ORD00583,PROD132,2024-10-22,Changed Mind,Replacement Sent,953.98
RET0282,ORD01065,PROD164,2024-10-29,Not As Described,Refunded,7694.66
RET0283,ORD00267,PROD121,2024-10-29,Wrong Item,Pending,5524.56
RET0284,ORD00944,PROD100,2024-11-05,Late Delivery,Refunded,1596.4
RET0285,ORD01015,PROD188,2024-11-09,Wrong Item,Refunded,5419.22
RET0286,ORD00256,PROD032,2024-11-12,Late Delivery,Refunded,8776.5
RET0287,ORD01160,PROD115,2024-11-15,Changed Mind,Replacement Sent,8282.49
RET0288,ORD01489,PROD041,2024-11-15,Not As Described,Pending,1299.06
RET0289,ORD00712,PROD119,2024-11-22,Not As Described,Pending,8249.86
RET0290,ORD01238,PROD070,2024-11-26,Not As Described,Pending,3445.52
RET0291,ORD00166,PROD107,2024-11-26,Not As Described,Pending,8605.97
RET0292,ORD01299,PROD015,2024-11-26,Not As Described,Replacement Sent,8759.57
RET0293,ORD00250,PROD003,2024-12-06,Changed Mind,Refunded,9487.66
RET0294,ORD01278,PROD063,2024-12-10,Damaged,Refunded,9860.12
RET0295,ORD01203,PROD076,2024-12-13,Damaged,Refunded,9508.38
RET0296,ORD00540,PROD024,2024-12-17,Wrong Item,Replacement Sent,1270.34
RET0297,ORD00227,PROD001,2024-12-20,Late Delivery,Pending,243.39
RET0298,ORD01482,PROD196,2024-12-20,Changed Mind,Replacement Sent,2168.89
RET0299,ORD00466,PROD096,2024-12-20,Wrong Item,Refunded,8861.86
RET0300,ORD00818,PROD144,2024-12-31,Late Delivery,Refunded,8661.81
