order_id,customer_id,order_date,ship_date,order_status,payment_method,sales_channel,order_amount,discount_amount,shipping_fee,city,state,net_amount,order_month,order_year
ORD00028,CUST0473,2022-01-20,2022-01-25,Returned,Cod,Mobile App,34218.77,8442.99,0,Hyderabad,GJ,25775.78,2022-01,2022
ORD00030,CUST0082,2022-01-22,2022-01-25,Cancelled,Credit Card,Online,18296.46,68.98,0,London,DL,18227.48,2022-01,2022
ORD00031,CUST0267,2022-01-22,2022-01-23,Delivered,Cod,Mobile App,17102.23,0.0,49,Toronto,NY,17151.23,2022-01,2022
ORD00032,CUST0397,2022-01-23,2022-01-29,Shipped,Cod,In-Store,27949.77,0.0,149,Kolkata,TN,28098.77,2022-01,2022
ORD00033,CUST0493,2022-01-24,2022-01-25,Delivered,Cod,In-Store,38991.54,9338.38,0,Kolkata,ON,29653.16,2022-01,2022
ORD00034,CUST0270,2022-01-25,2022-01-28,Shipped,Debit Card,In-Store,47280.12,2000.58,0,Hyderabad,KA,45279.54,2022-01,2022
ORD00035,CUST0578,2022-01-25,2022-01-28,Pending,Wallet,Mobile App,38981.94,7328.32,49,Ahmedabad,MH,31702.62,2022-01,2022
ORD00036,CUST0037,2022-01-26,2022-01-27,Shipped,Credit Card,Mobile App,29826.52,9045.41,149,Hyderabad,KA,20930.11,2022-01,2022
ORD00037,CUST0967,2022-01-27,2022-02-02,Returned,Credit Card,In-Store,6118.66,484.51,99,Bangalore,MH,5733.15,2022-01,2022
ORD00038,CUST0446,2022-01-28,2022-02-04,Pending,Cod,In-Store,43927.5,0.0,0,London,TN,43927.5,2022-01,2022
ORD00039,CUST0389,2022-01-28,2022-02-04,Returned,Wallet,In-Store,27396.79,7383.29,199,Sydney,NSW,20212.5,2022-01,2022
ORD00040,CUST0540,2022-01-29,2022-02-01,Shipped,Upi,In-Store,43369.87,8682.67,0,Kolkata,ON,34687.2,2022-01,2022
ORD00041,CUST0528,2022-01-30,2022-02-05,Pending,Net Banking,Mobile App,43419.52,3372.04,49,Hyderabad,TS,40096.48,2022-01,2022
ORD00042,CUST0741,2022-01-30,2022-02-04,Cancelled,Debit Card,Mobile App,9392.52,3645.34,0,Hyderabad,KA,5747.18,2022-01,2022
ORD00043,CUST0428,2022-01-31,2022-02-03,Delivered,Wallet,Mobile App,49666.38,11968.9,149,Sydney,TN,37846.48,2022-01,2022
ORD00044,CUST0461,2022-02-01,2022-02-04,Returned,Debit Card,Online,13053.12,3479.34,0,Mumbai,RJ,9573.78,2022-02,2022
ORD00045,CUST0382,2022-02-02,2022-02-08,Pending,Wallet,Online,34163.69,905.93,199,Hyderabad,WB,33456.76,2022-02,2022
ORD00046,CUST0071,2022-02-02,2022-02-09,Returned,Wallet,In-Store,42500.25,15544.73,99,Ahmedabad,GJ,27054.52,2022-02,2022
ORD00047,CUST0890,2022-03-02,2022-02-08,Shipped,Credit Card,Online,47171.76,1687.67,0,New York,ON,45484.09,2022-03,2022
ORD00048,CUST0575,2022-02-04,2022-02-07,Shipped,Cod,In-Store,44742.99,14737.47,149,Jaipur,MH,30154.52,2022-02,2022
ORD00049,CUST0346,2022-02-05,2022-02-11,Delivered,Upi,In-Store,581.34,45.95,0,Chennai,NSW,535.39,2022-02,2022
ORD00050,CUST0782,2022-05-02,2022-02-12,Delivered,Debit Card,Mobile App,32474.01,9961.0,49,Toronto,GJ,22562.01,2022-05,2022
ORD00051,CUST0504,2022-02-06,2022-02-10,Delivered,Net Banking,Mobile App,37428.07,1684.36,199,New York,GJ,35942.71,2022-02,2022
ORD00052,CUST0915,2022-02-07,2022-02-10,Delivered,Net Banking,Mobile App,14499.06,0.0,199,Toronto,WB,14698.06,2022-02,2022
ORD00053,CUST0104,2022-02-07,2022-02-10,Returned,Wallet,In-Store,45652.45,13487.38,199,Bangalore,MH,32364.07,2022-02,2022
ORD00054,CUST0087,2022-02-08,2022-02-11,Shipped,Credit Card,Mobile App,871.97,299.31,0,Toronto,TS,572.66,2022-02,2022
ORD00055,CUST0436,2022-02-09,2022-02-13,Returned,Cod,Online,3656.29,696.55,99,Ahmedabad,ON,3058.74,2022-02,2022
ORD00056,CUST0312,2022-02-10,2022-02-15,Returned,Net Banking,Mobile App,49459.17,13814.66,149,Surat,KA,35793.51,2022-02,2022
ORD00058,CUST0442,2022-02-11,2022-02-18,Shipped,Upi,Mobile App,4764.27,620.98,0,Kolkata,LDN,4143.29,2022-02,2022
ORD00059,CUST0047,2022-02-12,2022-02-14,Cancelled,Upi,Online,24983.58,2594.06,49,Kolkata,TN,22438.52,2022-02,2022
ORD00060,CUST0360,2022-02-13,2022-02-14,Shipped,Net Banking,Mobile App,29301.87,4975.3,0,Chennai,NY,24326.57,2022-02,2022
ORD00062,CUST0623,2022-02-14,2022-02-21,Pending,Credit Card,In-Store,45301.06,16446.23,99,Surat,NY,28953.83,2022-02,2022
ORD00063,CUST0815,2022-02-15,2022-02-22,Delivered,Upi,Online,29654.54,9075.2,149,Toronto,NY,20728.34,2022-02,2022
ORD00064,CUST0375,2022-02-16,2022-02-18,Delivered,Credit Card,In-Store,13053.91,1965.3,0,New York,GJ,11088.61,2022-02,2022
ORD00066,CUST0412,2022-02-17,2022-02-21,Cancelled,Debit Card,Mobile App,21813.07,6440.49,99,Jaipur,RJ,15471.58,2022-02,2022
ORD00067,CUST0213,2022-02-18,2022-02-23,Pending,Upi,Mobile App,23182.54,1310.71,99,Delhi,GJ,21970.83,2022-02,2022
ORD00068,CUST0311,2022-02-18,2022-02-19,Pending,Debit Card,In-Store,23088.56,564.71,199,New York,NY,22722.85,2022-02,2022
ORD00069,CUST0255,2022-02-19,2022-02-23,Cancelled,Credit Card,Mobile App,40294.9,12164.2,149,London,LDN,28279.7,2022-02,2022
ORD00070,CUST0949,2022-02-20,2022-02-21,Delivered,Net Banking,Mobile App,11571.02,3075.94,0,Jaipur,WB,8495.08,2022-02,2022
ORD00071,CUST0769,2022-02-21,2022-02-23,Delivered,Cod,Online,15414.09,1407.44,0,Ahmedabad,LDN,14006.65,2022-02,2022
ORD00072,CUST0092,2022-02-21,2022-02-25,Cancelled,Wallet,Online,14895.69,434.33,99,Ahmedabad,WB,14560.36,2022-02,2022
ORD00073,CUST0516,2022-02-22,2022-02-28,Cancelled,Debit Card,In-Store,23005.04,1666.19,0,Sydney,GJ,21338.85,2022-02,2022
ORD00074,CUST0050,2022-02-23,2022-02-27,Cancelled,Wallet,In-Store,13052.05,3924.7,199,Sydney,TS,9326.35,2022-02,2022
ORD00075,CUST0939,2022-02-24,2022-02-27,Pending,Debit Card,In-Store,22598.33,5016.83,99,Hyderabad,MH,17680.5,2022-02,2022
ORD00076,CUST0641,2022-02-24,2022-02-27,Pending,Cod,Mobile App,21487.68,1169.85,149,Hyderabad,RJ,20466.83,2022-02,2022
ORD00077,CUST0672,2022-02-25,2022-03-03,Returned,Upi,Mobile App,10423.03,1993.86,0,Surat,LDN,8429.17,2022-02,2022
ORD00079,CUST0215,2022-02-26,2022-03-05,Delivered,Credit Card,In-Store,20936.69,1158.75,199,Bangalore,GJ,19976.94,2022-02,2022
ORD00080,CUST0603,2022-02-27,2022-03-06,Returned,Wallet,Online,21618.75,4357.91,149,Hyderabad,GJ,17409.84,2022-02,2022
ORD00081,CUST0955,2022-02-28,2022-03-03,Delivered,Credit Card,Online,33623.91,406.31,99,Kolkata,NSW,33316.6,2022-02,2022
ORD00082,CUST0151,2022-01-03,2022-03-02,Returned,Debit Card,Online,49683.04,11751.47,49,Jaipur,KA,37980.57,2022-01,2022
ORD00084,CUST0738,2022-03-02,2022-03-08,Shipped,Net Banking,In-Store,47185.15,11399.63,49,New York,MH,35834.52,2022-03,2022
ORD00085,CUST0034,2022-03-03,2022-03-05,Pending,Upi,In-Store,37135.96,14215.54,99,Delhi,GJ,23019.42,2022-03,2022
ORD00086,CUST0138,2022-03-04,2022-03-06,Delivered,Credit Card,Online,47582.08,14779.22,99,Hyderabad,NY,32901.86,2022-03,2022
ORD00087,CUST0358,2022-03-04,2022-03-08,Cancelled,Net Banking,In-Store,16151.28,2908.73,149,Hyderabad,MH,13391.55,2022-03,2022
ORD00088,CUST0542,2022-03-05,2022-03-12,Returned,Cod,Online,25040.59,3395.51,99,Kolkata,KA,21744.08,2022-03,2022
ORD00089,CUST0855,2022-03-06,2022-03-12,Delivered,Cod,In-Store,29376.16,10136.6,49,Sydney,ON,19288.56,2022-03,2022
ORD00090,CUST0985,2022-03-07,2022-03-14,Delivered,Wallet,In-Store,7443.41,538.69,49,Surat,TS,6953.72,2022-03,2022
ORD00091,CUST0355,2022-03-07,2022-03-08,Shipped,Wallet,Mobile App,6598.87,1923.29,49,Chennai,NSW,4724.58,2022-03,2022
ORD00092,CUST0439,2022-03-08,2022-03-11,Shipped,Credit Card,Mobile App,47190.28,2779.04,0,Toronto,LDN,44411.24,2022-03,2022
ORD00093,CUST0340,2022-09-03,2022-03-12,Shipped,Credit Card,In-Store,23292.95,3456.6,149,Surat,MH,19985.35,2022-09,2022
ORD00094,CUST0777,2022-03-09,2022-03-12,Delivered,Upi,Online,24641.81,4168.75,0,Surat,MH,20473.06,2022-03,2022
ORD00095,CUST0810,2022-03-10,2022-03-16,Pending,Debit Card,In-Store,44163.74,6570.66,99,London,TN,37692.08,2022-03,2022
ORD00096,CUST0220,2022-03-11,2022-03-18,Delivered,Cod,Online,28898.51,2689.75,99,Pune,NSW,26307.76,2022-03,2022
ORD00097,CUST0246,2022-03-12,2022-03-16,Delivered,Cod,Mobile App,21299.08,4929.33,49,Chennai,TN,16418.75,2022-03,2022
ORD00098,CUST0790,2022-12-03,2022-03-14,Cancelled,Upi,Online,9440.3,3392.8,149,Delhi,LDN,6196.5,2022-12,2022
ORD00099,CUST0481,2022-03-13,2022-03-18,Shipped,Credit Card,Online,39756.2,221.27,99,Toronto,MH,39633.93,2022-03,2022
ORD00100,CUST0721,2022-03-14,2022-03-15,Pending,Wallet,Mobile App,24823.24,768.85,149,Pune,ON,24203.39,2022-03,2022
ORD00101,CUST0489,2022-03-15,2022-03-22,Pending,Credit Card,In-Store,22583.79,7981.46,0,Pune,MH,14602.33,2022-03,2022
ORD00102,CUST0494,2022-03-15,2022-03-18,Pending,Upi,Online,4111.21,1519.26,149,Toronto,NSW,2740.95,2022-03,2022
ORD00103,CUST0814,2022-03-16,2022-03-19,Cancelled,Upi,In-Store,17187.42,74.11,0,Kolkata,DL,17113.31,2022-03,2022
ORD00104,CUST0248,2022-03-17,2022-03-20,Cancelled,Wallet,Mobile App,9319.01,3113.04,49,Kolkata,MH,6254.97,2022-03,2022
ORD00105,CUST0019,2022-03-17,2022-03-20,Cancelled,Upi,In-Store,28920.85,9865.61,149,Hyderabad,LDN,19204.24,2022-03,2022
ORD00107,CUST0205,2022-03-19,2022-03-26,Shipped,Upi,Mobile App,1722.31,273.98,99,Bangalore,NSW,1547.33,2022-03,2022
ORD00108,CUST0102,2022-03-20,2022-03-22,Delivered,Upi,Online,17554.72,5115.64,199,Chennai,ON,12638.08,2022-03,2022
ORD00109,CUST0388,2022-03-20,2022-03-26,Cancelled,Net Banking,In-Store,11027.29,2667.33,49,Surat,ON,8408.96,2022-03,2022
ORD00110,CUST0508,2022-03-21,2022-03-28,Shipped,Debit Card,In-Store,37929.72,2733.71,0,Hyderabad,GJ,35196.01,2022-03,2022
ORD00111,CUST0705,2022-03-22,2022-03-28,Pending,Credit Card,Online,41130.1,3655.79,0,Mumbai,LDN,37474.31,2022-03,2022
ORD00112,CUST0571,2022-03-23,2022-03-28,Returned,Net Banking,In-Store,40873.5,972.78,149,Bangalore,NSW,40049.72,2022-03,2022
ORD00113,CUST0493,2022-03-23,2022-03-27,Cancelled,Debit Card,Mobile App,32329.49,10656.61,149,New York,GJ,21821.88,2022-03,2022
ORD00114,CUST0111,2022-03-24,2022-03-31,Returned,Credit Card,Mobile App,15255.75,5963.35,199,Kolkata,KA,9491.4,2022-03,2022
ORD00115,CUST0607,2022-03-25,2022-03-28,Delivered,Credit Card,Mobile App,31367.43,4687.98,149,Toronto,TS,26828.45,2022-03,2022
ORD00116,CUST0802,2022-03-26,2022-04-01,Cancelled,Net Banking,In-Store,27351.97,3297.04,0,Toronto,ON,24054.93,2022-03,2022
ORD00117,CUST0165,2022-03-26,2022-03-27,Delivered,Upi,Online,18233.06,3010.52,0,Surat,GJ,15222.54,2022-03,2022
ORD00118,CUST0860,2022-03-27,2022-04-01,Returned,Cod,Online,33288.86,12281.81,199,Toronto,ON,21206.05,2022-03,2022
ORD00119,CUST0426,2022-03-28,2022-03-31,Delivered,Debit Card,Mobile App,29791.59,1977.02,0,Mumbai,KA,27814.57,2022-03,2022
ORD00120,CUST0111,2022-03-28,2022-03-31,Cancelled,Debit Card,Mobile App,47230.37,16665.08,49,Sydney,MH,30614.29,2022-03,2022
ORD00121,CUST0381,2022-03-29,2022-04-01,Cancelled,Credit Card,In-Store,27156.47,9926.99,199,Jaipur,TS,17428.48,2022-03,2022
ORD00122,CUST0290,2022-03-30,2022-04-04,Delivered,Wallet,Online,17489.95,1346.23,49,Surat,KA,16192.72,2022-03,2022
ORD00123,CUST0561,2022-03-31,2022-04-03,Returned,Upi,In-Store,12309.46,331.05,49,Toronto,WB,12027.41,2022-03,2022
ORD00124,CUST0493,2022-03-31,2022-04-06,Pending,Credit Card,Mobile App,40287.5,5544.41,0,Kolkata,MH,34743.09,2022-03,2022
ORD00125,CUST0690,2022-04-01,2022-04-05,Shipped,Net Banking,Mobile App,11389.48,1538.24,99,Hyderabad,TS,9950.24,2022-04,2022
ORD00126,CUST0158,2022-04-02,2022-04-05,Cancelled,Wallet,In-Store,1766.17,604.25,199,Toronto,DL,1360.92,2022-04,2022
ORD00127,CUST0013,2022-03-04,2022-04-10,Shipped,Wallet,In-Store,28057.08,7801.47,49,Surat,WB,20304.61,2022-03,2022
ORD00128,CUST0873,2022-03-04,2022-04-05,Shipped,Credit Card,In-Store,12355.6,4325.19,99,Kolkata,LDN,8129.41,2022-03,2022
ORD00129,CUST0106,2022-04-04,2022-04-07,Returned,Net Banking,In-Store,8244.25,0.0,0,Kolkata,ON,8244.25,2022-04,2022
ORD00130,CUST0148,2022-05-04,2022-04-12,Pending,Credit Card,In-Store,37356.39,8044.56,49,Kolkata,NY,29360.83,2022-05,2022
ORD00131,CUST0269,2022-04-05,2022-04-08,Pending,Credit Card,Mobile App,39454.14,11878.2,0,New York,RJ,27575.94,2022-04,2022
ORD00132,CUST0681,2022-04-06,2022-04-10,Returned,Credit Card,Online,22272.12,2969.67,199,Toronto,GJ,19501.45,2022-04,2022
ORD00133,CUST0059,2022-04-07,2022-04-12,Cancelled,Upi,Mobile App,30625.25,7531.22,0,Jaipur,NY,23094.03,2022-04,2022
ORD00134,CUST0142,2022-04-08,2022-04-11,Delivered,Credit Card,In-Store,24871.01,1970.66,149,Delhi,TN,23049.35,2022-04,2022
ORD00135,CUST0977,2022-04-08,2022-04-11,Delivered,Credit Card,Mobile App,13964.97,366.25,0,Delhi,GJ,13598.72,2022-04,2022
ORD00136,CUST0384,2022-09-04,2022-04-12,Returned,Wallet,Mobile App,43361.51,11116.46,199,New York,KA,32444.05,2022-09,2022
ORD00137,CUST0979,2022-04-10,2022-04-11,Delivered,Wallet,Mobile App,31144.49,9926.74,199,Jaipur,GJ,21416.75,2022-04,2022
ORD00138,CUST0838,2022-04-11,2022-04-18,Returned,Wallet,Mobile App,3893.07,356.73,149,Bangalore,NSW,3685.34,2022-04,2022
ORD00139,CUST0298,2022-04-11,2022-04-14,Pending,Cod,In-Store,6492.63,1099.99,99,Sydney,WB,5491.64,2022-04,2022
ORD00140,CUST0346,2022-12-04,2022-04-17,Delivered,Credit Card,In-Store,42667.05,10744.51,149,Bangalore,ON,32071.54,2022-12,2022
ORD00141,CUST0329,2022-04-13,2022-04-20,Delivered,Wallet,Mobile App,45294.74,12704.62,199,Surat,LDN,32789.12,2022-04,2022
ORD00142,CUST0025,2022-04-13,2022-04-19,Delivered,Credit Card,Mobile App,38345.98,405.7,199,Toronto,ON,38139.28,2022-04,2022
ORD00143,CUST0674,2022-04-14,2022-04-20,Returned,Credit Card,In-Store,43980.04,15874.78,99,Toronto,LDN,28204.26,2022-04,2022
ORD00144,CUST0060,2022-04-15,2022-04-20,Shipped,Wallet,Mobile App,9633.49,2717.22,0,Bangalore,LDN,6916.27,2022-04,2022
ORD00145,CUST0351,2022-04-16,2022-04-20,Pending,Net Banking,Online,16660.06,66.19,0,Chennai,TN,16593.87,2022-04,2022
ORD00146,CUST0303,2022-04-16,2022-04-22,Delivered,Upi,Online,7064.74,1644.35,0,New York,GJ,5420.39,2022-04,2022
ORD00147,CUST0605,2022-04-17,2022-04-23,Pending,Net Banking,Online,2563.53,872.99,149,Toronto,RJ,1839.54,2022-04,2022
ORD00148,CUST0033,2022-04-18,2022-04-23,Pending,Net Banking,In-Store,7068.91,1318.03,49,New York,MH,5799.88,2022-04,2022
ORD00149,CUST0520,2022-04-19,2022-04-24,Returned,Upi,Mobile App,43012.48,2637.96,0,New York,LDN,40374.52,2022-04,2022
ORD00150,CUST0763,2022-04-19,2022-04-26,Returned,Credit Card,In-Store,40950.06,10291.28,99,New York,KA,30757.78,2022-04,2022
ORD00151,CUST0738,2022-04-20,2022-04-23,Shipped,Credit Card,In-Store,5562.12,401.21,0,Bangalore,TN,5160.91,2022-04,2022
ORD00152,CUST0038,2022-04-21,2022-04-25,Shipped,Upi,In-Store,24682.64,4259.45,149,Hyderabad,RJ,20572.19,2022-04,2022
ORD00153,CUST0682,2022-04-22,2022-04-29,Cancelled,Debit Card,Online,10527.58,987.4,49,Kolkata,NY,9589.18,2022-04,2022
ORD00154,CUST0578,2022-04-22,2022-04-29,Pending,Wallet,Mobile App,21556.92,821.53,199,Jaipur,DL,20934.39,2022-04,2022
ORD00156,CUST0941,2022-04-24,2022-05-01,Cancelled,Credit Card,In-Store,44182.68,5894.74,199,Bangalore,RJ,38486.94,2022-04,2022
ORD00157,CUST0564,2022-04-24,2022-04-29,Cancelled,Credit Card,Mobile App,26411.86,2029.54,199,Bangalore,KA,24581.32,2022-04,2022
ORD00158,CUST0864,2022-04-25,2022-05-01,Delivered,Wallet,Mobile App,35003.59,9949.44,149,Mumbai,ON,25203.15,2022-04,2022
ORD00159,CUST0214,2022-04-26,2022-04-28,Returned,Upi,Mobile App,997.67,202.69,149,Chennai,RJ,943.98,2022-04,2022
ORD00160,CUST0582,2022-04-27,2022-05-03,Delivered,Debit Card,In-Store,38968.04,5649.0,49,Ahmedabad,GJ,33368.04,2022-04,2022
ORD00161,CUST0867,2022-04-27,2022-04-29,Pending,Cod,In-Store,16012.22,2390.51,199,Chennai,TN,13820.71,2022-04,2022
ORD00162,CUST0508,2022-04-28,2022-05-03,Shipped,Credit Card,Mobile App,8713.41,3030.79,0,Chennai,WB,5682.62,2022-04,2022
ORD00163,CUST0412,2022-04-29,2022-04-30,Pending,Cod,In-Store,17698.17,5633.78,149,Ahmedabad,NY,12213.39,2022-04,2022
ORD00164,CUST0647,2022-04-30,2022-05-05,Pending,Credit Card,In-Store,15063.8,1037.01,149,London,TN,14175.79,2022-04,2022
ORD00165,CUST0470,2022-04-30,2022-05-07,Returned,Net Banking,In-Store,44052.51,11385.27,0,Jaipur,NY,32667.24,2022-04,2022
ORD00166,CUST0243,2022-01-05,2022-05-03,Delivered,Net Banking,Online,8210.01,3028.04,0,Toronto,NY,5181.97,2022-01,2022
ORD00167,CUST0533,2022-02-05,2022-05-09,Shipped,Upi,In-Store,29741.68,9375.3,199,Hyderabad,KA,20565.38,2022-02,2022
ORD00168,CUST0523,2022-05-02,2022-05-08,Shipped,Net Banking,Online,8595.02,2384.69,0,Mumbai,ON,6210.33,2022-05,2022
ORD00169,CUST0490,2022-05-03,2022-05-05,Shipped,Cod,Mobile App,13187.58,4383.78,99,Kolkata,NSW,8902.8,2022-05,2022
ORD00170,CUST0139,2022-05-04,2022-05-11,Delivered,Net Banking,Online,29077.55,5004.93,49,New York,GJ,24121.62,2022-05,2022
ORD00171,CUST0318,2022-05-05,2022-05-07,Cancelled,Credit Card,Online,32386.09,243.06,49,London,RJ,32192.03,2022-05,2022
ORD00172,CUST0387,2022-05-05,2022-05-08,Returned,Credit Card,Online,38036.88,8747.28,49,Delhi,NY,29338.6,2022-05,2022
ORD00173,CUST0100,2022-06-05,2022-05-10,Delivered,Wallet,Online,30997.43,1667.27,99,Chennai,WB,29429.16,2022-06,2022
ORD00174,CUST0402,2022-05-07,2022-05-10,Cancelled,Cod,Online,47486.92,4220.5,0,Jaipur,RJ,43266.42,2022-05,2022
ORD00176,CUST0014,2022-08-05,2022-05-14,Pending,Cod,Mobile App,20058.72,3211.27,149,Ahmedabad,GJ,16996.45,2022-08,2022
ORD00177,CUST0208,2022-09-05,2022-05-13,Delivered,Cod,Online,48783.26,16982.59,149,Hyderabad,LDN,31949.67,2022-09,2022
ORD00178,CUST0818,2022-05-10,2022-05-11,Shipped,Cod,In-Store,35690.09,5053.55,0,London,MH,30636.54,2022-05,2022
ORD00179,CUST0813,2022-05-11,2022-05-13,Delivered,Cod,In-Store,8755.86,950.46,0,Jaipur,TS,7805.4,2022-05,2022
ORD00180,CUST0791,2022-05-11,2022-05-14,Pending,Cod,In-Store,7416.0,661.3,0,Pune,KA,6754.7,2022-05,2022
ORD00181,CUST0289,2022-12-05,2022-05-14,Pending,Net Banking,In-Store,9991.55,1640.08,0,Ahmedabad,NY,8351.47,2022-12,2022
ORD00182,CUST0255,2022-05-13,2022-05-16,Shipped,Wallet,Online,13022.86,3711.78,149,Jaipur,TN,9460.08,2022-05,2022
ORD00183,CUST0539,2022-05-13,2022-05-14,Cancelled,Upi,Mobile App,35799.27,5571.65,99,Chennai,MH,30326.62,2022-05,2022
ORD00184,CUST0226,2022-05-14,2022-05-21,Cancelled,Net Banking,Mobile App,45778.12,3600.49,49,Mumbai,GJ,42226.63,2022-05,2022
ORD00185,CUST0791,2022-05-15,2022-05-22,Shipped,Upi,Mobile App,19479.24,2820.69,149,Hyderabad,ON,16807.55,2022-05,2022
ORD00186,CUST0688,2022-05-16,2022-05-22,Cancelled,Wallet,Mobile App,21157.29,5860.96,99,Toronto,NY,15395.33,2022-05,2022
ORD00187,CUST0061,2022-05-16,2022-05-19,Returned,Wallet,In-Store,48736.43,15961.95,149,Pune,TN,32923.48,2022-05,2022
ORD00188,CUST0029,2022-05-17,2022-05-20,Shipped,Credit Card,Online,42931.57,1718.75,199,Pune,DL,41411.82,2022-05,2022
ORD00189,CUST0031,2022-05-18,2022-05-21,Delivered,Wallet,Online,41811.08,8268.8,199,Surat,RJ,33741.28,2022-05,2022
ORD00190,CUST0595,2022-05-19,2022-05-26,Delivered,Upi,Mobile App,34896.93,574.77,49,Kolkata,GJ,34371.16,2022-05,2022
ORD00191,CUST0082,2022-05-19,2022-05-26,Cancelled,Upi,Mobile App,15451.86,4768.42,0,New York,GJ,10683.44,2022-05,2022
ORD00192,CUST0299,2022-05-20,2022-05-21,Cancelled,Upi,In-Store,13506.55,2314.49,99,Toronto,MH,11291.06,2022-05,2022
ORD00193,CUST0229,2022-05-21,2022-05-24,Returned,Cod,Online,19497.19,0.0,199,Pune,GJ,19696.19,2022-05,2022
ORD00194,CUST0321,2022-05-21,2022-05-25,Pending,Wallet,Mobile App,43719.91,13513.14,99,New York,TN,30305.77,2022-05,2022
ORD00195,CUST0162,2022-05-22,2022-05-25,Shipped,Cod,Online,38077.15,6366.83,199,Toronto,DL,31909.32,2022-05,2022
ORD00196,CUST0630,2022-05-23,2022-05-24,Shipped,Upi,Mobile App,8730.53,0.0,99,Ahmedabad,NSW,8829.53,2022-05,2022
ORD00197,CUST0315,2022-05-24,2022-05-28,Pending,Wallet,In-Store,29821.44,2709.42,99,New York,DL,27211.02,2022-05,2022
