order_id,customer_id,order_date,ship_date,order_status,payment_method,sales_channel,order_amount,discount_amount,shipping_fee,city,state
ORD00064,CUST0375,02-16-2022,2022-02-18,delivered,Credit Card,IN-STORE,13053.91,1965.3,0,New York,GJ
ORD00065,CUST0841,16/02/2022,2022-02-22,Pending,COD,In-Store,,2102.5,149,Pune,ON
ORD00066,CUST0412,2022-02-17,2022-02-21,Cancelled,Debit Card,Mobile App,21813.07,6440.49,99,Jaipur,RJ
ORD00067,CUST0213,02-18-2022,2022-02-23,Pending,UPI ,mobile app,23182.54,1310.71,99,Delhi,GJ
ORD00068,CUST0311,2022-02-18,2022-02-19,Pending,Debit Card,In-Store,23088.56,564.71,199,New York,NY
ORD00069,CUST0255,02-19-2022,2022-02-23,CANCELLED,Credit Card,mobile app,40294.9,12164.2,149,London,LDN
ORD00070,CUST0949,2022-02-20,2022-02-21,Delivered,Net Banking,mobile app,11571.02,3075.94,0,Jaipur,WB
ORD00071,CUST0769,21/02/2022,2022-02-23,delivered,  COD,online,15414.09,1407.44,0,Ahmedabad,LDN
ORD00072,CUST0092,21/02/2022,2022-02-25,CANCELLED,WALLET,online,14895.69,434.33,99,Ahmedabad,WB
ORD00073,CUST0516,22/02/2022,2022-02-28,CANCELLED,Debit Card,IN-STORE,23005.04,1666.19,0,Sydney,GJ
ORD00074,CUST0050,23/02/2022,2022-02-27,Cancelled,WALLET,IN-STORE,13052.05,3924.7,199,Sydney,TS
ORD00075,CUST0939,24/02/2022,,pending,Debit Card,In-Store,22598.33,5016.83,99,Hyderabad,MH
ORD00076,CUST0641,2022-02-24,,pending,  COD,mobile app,21487.68,1169.85,149,Hyderabad,RJ
ORD00077,CUST0672,25/02/2022,2022-03-03,Returned,UPI ,Mobile App,10423.03,1993.86,0,Surat,LDN
ORD00064,CUST0450,2022-02-26,2022-03-01,Cancelled,COD,Online,47159.65,3928.32,199,Surat,NSW
ORD00079,CUST0215,02-26-2022,2022-03-05,delivered,Credit Card,In-Store,20936.69,1158.75,199,Bangalore,GJ
ORD00080,CUST0603,02-27-2022,2022-03-06,Returned,Wallet,Online,21618.75,4357.91,149,Hyderabad,GJ
ORD00081,CUST0955,28/02/2022,,Delivered,Credit Card,Online,33623.91,406.31,99,Kolkata,NSW
ORD00082,CUST0151,03-01-2022,2022-03-02,Returned,Debit Card,online,49683.04,11751.47,49,Jaipur,KA
ORD00083,CUST0017,03-01-2022,2022-03-06,pending,Net Banking,IN-STORE,-500.0,12137.28,99,Ahmedabad,DL
ORD00084,CUST0738,02/03/2022,2022-03-08,SHIPPED,Net Banking,In-Store,47185.15,11399.63,49,New York,MH
ORD00085,CUST0034,03-03-2022,2022-03-05,Pending,UPI,In-Store,37135.96,14215.54,99,Delhi,GJ
ORD00086,CUST0138,2022-03-04,2022-03-06,delivered,Credit Card,Online,47582.08,14779.22,99,Hyderabad,NY
ORD00087,CUST0358,04/03/2022,2022-03-08,Cancelled,Net Banking,In-Store,16151.28,2908.73,149,Hyderabad,MH
ORD00088,CUST0542,2022-03-05,2022-03-12,returned,COD,online,25040.59,3395.51,99,Kolkata,KA
ORD00089,CUST0855,2022-03-06,2022-03-12,delivered,COD,IN-STORE,29376.16,10136.6,49,Sydney,ON
ORD00090,CUST0985,07/03/2022,2022-03-14,Delivered,WALLET,IN-STORE,7443.41,538.69,49,Surat,TS
ORD00091,CUST0355,07/03/2022,2022-03-08,Shipped,Wallet,mobile app,6598.87,1923.29,49,Chennai,NSW
ORD00092,CUST0439,2022-03-08,,Shipped,credit card,mobile app,47190.28,2779.04,0,Toronto,LDN
ORD00093,CUST0340,03-09-2022,2022-03-12,Shipped,Credit Card,IN-STORE,23292.95,3456.6,149,Surat,MH
ORD00094,CUST0777,09/03/2022,2022-03-12,delivered,UPI ,Online,24641.81,4168.75,0,Surat,MH
ORD00095,CUST0810,10/03/2022,2022-03-16,Pending,Debit Card,IN-STORE,44163.74,6570.66,99,London,TN
ORD00096,CUST0220,11/03/2022,2022-03-18,delivered,COD,Online,28898.51,2689.75,99,Pune,NSW
ORD00097,CUST0246,2022-03-12,2022-03-16,delivered,  COD,mobile app,21299.08,4929.33,49,Chennai,TN
ORD00098,CUST0790,03-12-2022,2022-03-14,CANCELLED,UPI ,Online,9440.3,3392.8,149,Delhi,LDN
ORD00099,CUST0481,13/03/2022,2022-03-18,SHIPPED,credit card,Online,39756.2,221.27,99,Toronto,MH
ORD00100,CUST0721,2022-03-14,2022-03-15,Pending,Wallet,mobile app,24823.24,768.85,149,Pune,ON
ORD00101,CUST0489,03-15-2022,2022-03-22,pending,Credit Card,IN-STORE,22583.79,7981.46,0,Pune,MH
ORD00102,CUST0494,15/03/2022,2022-03-18,pending,UPI ,online,4111.21,1519.26,149,Toronto,NSW
ORD00103,CUST0814,16/03/2022,,CANCELLED,UPI ,In-Store,17187.42,74.11,0,Kolkata,DL
ORD00104,CUST0248,17/03/2022,2022-03-20,CANCELLED,Wallet,Mobile App,9319.01,3113.04,49,Kolkata,MH
ORD00105,CUST0019,17/03/2022,2022-03-20,CANCELLED,UPI,In-Store,28920.85,9865.61,149,Hyderabad,LDN
ORD00106,CUST0694,18/03/2022,2022-03-24,Pending,Wallet,online,-500.0,8706.5,199,New York,NY
ORD00107,CUST0205,2022-03-19,2022-03-26,SHIPPED,UPI ,Mobile App,1722.31,273.98,99,Bangalore,NSW
ORD00108,CUST0102,2022-03-20,2022-03-22,Delivered,UPI,online,17554.72,5115.64,199,Chennai,ON
ORD00109,CUST0388,2022-03-20,2022-03-26,Cancelled,Net Banking,IN-STORE,11027.29,2667.33,49,Surat,ON
ORD00110,CUST0508,21/03/2022,2022-03-28,Shipped,Debit Card,IN-STORE,37929.72,2733.71,0,Hyderabad,GJ
ORD00111,CUST0705,03-22-2022,2022-03-28,pending,credit card,online,41130.1,3655.79,0,Mumbai,LDN
ORD00112,CUST0571,03-23-2022,2022-03-28,Returned,Net Banking,In-Store,40873.5,972.78,149,Bangalore,NSW
ORD00113,CUST0493,2022-03-23,2022-03-27,CANCELLED,Debit Card,mobile app,32329.49,10656.61,149,New York,GJ
ORD00114,CUST0111,24/03/2022,2022-03-31,returned,credit card,Mobile App,15255.75,5963.35,199,Kolkata,KA
ORD00115,CUST0607,03-25-2022,2022-03-28,Delivered,Credit Card,Mobile App,31367.43,4687.98,149,Toronto,TS
ORD00116,CUST0802,03-26-2022,2022-04-01,Cancelled,Net Banking,IN-STORE,27351.97,3297.04,0,Toronto,ON
ORD00117,CUST0165,2022-03-26,2022-03-27,Delivered,UPI ,online,18233.06,3010.52,0,Surat,GJ
ORD00118,CUST0860,03-27-2022,2022-04-01,Returned,  COD,online,33288.86,12281.81,199,Toronto,ON
ORD00119,CUST0426,2022-03-28,,delivered,Debit Card,Mobile App,29791.59,1977.02,0,Mumbai,KA
ORD00120,CUST0111,28/03/2022,2022-03-31,CANCELLED,Debit Card,Mobile App,47230.37,16665.08,49,Sydney,MH
ORD00121,CUST0381,03-29-2022,,CANCELLED,Credit Card,In-Store,27156.47,9926.99,199,Jaipur,TS
ORD00122,CUST0290,2022-03-30,2022-04-04,Delivered,Wallet,online,17489.95,1346.23,49,Surat,KA
ORD00123,CUST0561,2022-03-31,,returned,UPI ,In-Store,12309.46,331.05,49,Toronto,WB
ORD00124,CUST0493,31/03/2022,2022-04-06,pending,Credit Card,mobile app,40287.5,5544.41,0,Kolkata,MH
ORD00125,CUST0690,2022-04-01,2022-04-05,Shipped,Net Banking,Mobile App,11389.48,1538.24,99,Hyderabad,TS
ORD00126,CUST0158,2022-04-02,2022-04-05,CANCELLED,WALLET,IN-STORE,1766.17,604.25,199,Toronto,DL
ORD00127,CUST0013,04-03-2022,2022-04-10,SHIPPED,WALLET,IN-STORE,28057.08,7801.47,49,Surat,WB
ORD00128,CUST0873,04-03-2022,2022-04-05,Shipped,credit card,IN-STORE,12355.6,4325.19,99,Kolkata,LDN
ORD00129,CUST0106,2022-04-04,,Returned,Net Banking,In-Store,8244.25,16488.5,0,Kolkata,ON
ORD00130,CUST0148,04-05-2022,2022-04-12,Pending,Credit Card,In-Store,37356.39,8044.56,49,Kolkata,NY
ORD00131,CUST0269,2022-04-05,,Pending,credit card,mobile app,39454.14,11878.2,0,New York,RJ
ORD00132,CUST0681,06/04/2022,2022-04-10,returned,credit card,online,22272.12,2969.67,199,Toronto,GJ
ORD00133,CUST0059,07/04/2022,2022-04-12,Cancelled,UPI ,mobile app,30625.25,7531.22,0,Jaipur,NY
ORD00134,CUST0142,08/04/2022,2022-04-11,delivered,Credit Card,In-Store,24871.01,1970.66,149,Delhi,TN
ORD00135,CUST0977,08/04/2022,2022-04-11,delivered,Credit Card,Mobile App,13964.97,366.25,0,Delhi,GJ
ORD00136,CUST0384,04-09-2022,2022-04-12,Returned,Wallet,Mobile App,43361.51,11116.46,199,New York,KA
ORD00137,CUST0979,10/04/2022,2022-04-11,delivered,WALLET,Mobile App,31144.49,9926.74,199,Jaipur,GJ
ORD00138,CUST0838,2022-04-11,2022-04-18,returned,WALLET,mobile app,3893.07,356.73,149,Bangalore,NSW
ORD00139,CUST0298,11/04/2022,,Pending,COD,In-Store,6492.63,1099.99,99,Sydney,WB
ORD00140,CUST0346,04-12-2022,2022-04-17,Delivered,credit card,In-Store,42667.05,10744.51,149,Bangalore,ON
ORD00141,CUST0329,04-13-2022,2022-04-20,delivered,WALLET,mobile app,45294.74,12704.62,199,Surat,LDN
ORD00142,CUST0025,2022-04-13,2022-04-19,delivered,credit card,Mobile App,38345.98,405.7,199,Toronto,ON
ORD00143,CUST0674,04-14-2022,2022-04-20,returned,credit card,In-Store,43980.04,15874.78,99,Toronto,LDN
ORD00144,CUST0060,04-15-2022,2022-04-20,SHIPPED,WALLET,Mobile App,9633.49,2717.22,0,Bangalore,LDN
ORD00145,CUST0351,04-16-2022,2022-04-20,pending,Net Banking,Online,16660.06,66.19,0,Chennai,TN
ORD00146,CUST0303,04-16-2022,2022-04-22,delivered,UPI,Online,7064.74,1644.35,0,New York,GJ
ORD00147,CUST0605,04-17-2022,2022-04-23,pending,Net Banking,online,2563.53,872.99,149,Toronto,RJ
ORD00148,CUST0033,04-18-2022,2022-04-23,pending,Net Banking,IN-STORE,7068.91,1318.03,49,New York,MH
ORD00149,CUST0520,04-19-2022,2022-04-24,returned,UPI ,mobile app,43012.48,2637.96,0,New York,LDN
ORD00150,CUST0763,2022-04-19,2022-04-26,returned,Credit Card,IN-STORE,40950.06,10291.28,99,New York,KA
ORD00151,CUST0738,2022-04-20,2022-04-23,Shipped,Credit Card,In-Store,5562.12,401.21,0,Bangalore,TN
ORD00152,CUST0038,21/04/2022,2022-04-25,Shipped,UPI ,IN-STORE,24682.64,4259.45,149,Hyderabad,RJ
ORD00153,CUST0682,2022-04-22,2022-04-29,Cancelled,Debit Card,Online,10527.58,987.4,49,Kolkata,NY
ORD00154,CUST0578,22/04/2022,2022-04-29,pending,Wallet,Mobile App,21556.92,821.53,199,Jaipur,DL
ORD00125,CUST0601,2022-04-23,2022-04-26,returned,  COD,Online,23416.77,5085.2,99,Ahmedabad,ON
ORD00156,CUST0941,2022-04-24,2022-05-01,CANCELLED,Credit Card,In-Store,44182.68,5894.74,199,Bangalore,RJ
ORD00157,CUST0564,04-24-2022,2022-04-29,Cancelled,Credit Card,Mobile App,26411.86,2029.54,199,Bangalore,KA
ORD00158,CUST0864,25/04/2022,2022-05-01,Delivered,WALLET,Mobile App,35003.59,9949.44,149,Mumbai,ON
ORD00159,CUST0214,26/04/2022,2022-04-28,Returned,UPI ,Mobile App,997.67,202.69,149,Chennai,RJ
ORD00160,CUST0582,04-27-2022,2022-05-03,delivered,Debit Card,In-Store,38968.04,5649.0,49,Ahmedabad,GJ
ORD00161,CUST0867,27/04/2022,2022-04-29,pending,COD,IN-STORE,16012.22,2390.51,199,Chennai,TN
ORD00162,CUST0508,2022-04-28,2022-05-03,SHIPPED,Credit Card,mobile app,8713.41,3030.79,0,Chennai,WB
ORD00163,CUST0412,2022-04-29,2022-04-30,Pending,  COD,IN-STORE,17698.17,5633.78,149,Ahmedabad,NY
ORD00164,CUST0647,04-30-2022,2022-05-05,pending,credit card,In-Store,15063.8,1037.01,149,London,TN
ORD00165,CUST0470,30/04/2022,2022-05-07,Returned,Net Banking,IN-STORE,44052.51,11385.27,0,Jaipur,NY
ORD00166,CUST0243,05-01-2022,2022-05-03,delivered,Net Banking,online,8210.01,3028.04,0,Toronto,NY
ORD00167,CUST0533,05-02-2022,2022-05-09,Shipped,UPI,In-Store,29741.68,9375.3,199,Hyderabad,KA
ORD00168,CUST0523,2022-05-02,2022-05-08,Shipped,Net Banking,Online,8595.02,2384.69,0,Mumbai,ON
ORD00169,CUST0490,2022-05-03,2022-05-05,SHIPPED,COD,Mobile App,13187.58,4383.78,99,Kolkata,NSW
ORD00170,CUST0139,2022-05-04,2022-05-11,Delivered,Net Banking,online,29077.55,5004.93,49,New York,GJ
ORD00171,CUST0318,2022-05-05,2022-05-07,CANCELLED,Credit Card,online,32386.09,243.06,49,London,RJ
ORD00172,CUST0387,2022-05-05,,returned,credit card,online,38036.88,8747.28,49,Delhi,NY
ORD00173,CUST0100,05-06-2022,2022-05-10,delivered,Wallet,online,30997.43,1667.27,99,Chennai,WB
ORD00174,CUST0402,07/05/2022,,CANCELLED,  COD,online,47486.92,4220.5,0,Jaipur,RJ
ORD00018,CUST0220,2022-05-08,2022-05-13,returned,UPI ,online,1161.26,245.67,149,Kolkata,MH
ORD00176,CUST0014,05-08-2022,2022-05-14,pending,COD,mobile app,20058.72,3211.27,149,Ahmedabad,GJ
ORD00177,CUST0208,05-09-2022,2022-05-13,Delivered,COD,Online,48783.26,16982.59,149,Hyderabad,LDN
ORD00178,CUST0818,2022-05-10,2022-05-11,Shipped,  COD,IN-STORE,35690.09,5053.55,0,London,MH
ORD00179,CUST0813,11/05/2022,2022-05-13,delivered,  COD,In-Store,8755.86,950.46,0,Jaipur,TS
ORD00180,CUST0791,2022-05-11,,Pending,  COD,IN-STORE,7416.0,661.3,0,Pune,KA
ORD00181,CUST0289,05-12-2022,2022-05-14,Pending,Net Banking,IN-STORE,9991.55,1640.08,0,Ahmedabad,NY
ORD00182,CUST0255,13/05/2022,2022-05-16,Shipped,WALLET,online,13022.86,3711.78,149,Jaipur,TN
ORD00183,CUST0539,05-13-2022,2022-05-14,Cancelled,UPI,Mobile App,35799.27,5571.65,99,Chennai,MH
ORD00184,CUST0226,2022-05-14,2022-05-21,Cancelled,Net Banking,Mobile App,45778.12,3600.49,49,Mumbai,GJ
ORD00185,CUST0791,15/05/2022,2022-05-22,SHIPPED,UPI ,mobile app,19479.24,2820.69,149,Hyderabad,ON
ORD00186,CUST0688,05-16-2022,2022-05-22,CANCELLED,Wallet,mobile app,21157.29,5860.96,99,Toronto,NY
ORD00187,CUST0061,16/05/2022,2022-05-19,returned,WALLET,IN-STORE,48736.43,15961.95,149,Pune,TN
ORD00188,CUST0029,05-17-2022,2022-05-20,SHIPPED,Credit Card,online,42931.57,1718.75,199,Pune,DL
ORD00189,CUST0031,2022-05-18,,Delivered,WALLET,Online,41811.08,8268.8,199,Surat,RJ
ORD00190,CUST0595,05-19-2022,2022-05-26,Delivered,UPI ,mobile app,34896.93,574.77,49,Kolkata,GJ
ORD00191,CUST0082,19/05/2022,2022-05-26,CANCELLED,UPI,mobile app,15451.86,4768.42,0,New York,GJ
ORD00192,CUST0299,2022-05-20,2022-05-21,Cancelled,UPI,In-Store,13506.55,2314.49,99,Toronto,MH
ORD00193,CUST0229,21/05/2022,2022-05-24,Returned,  COD,Online,19497.19,-100.0,199,Pune,GJ
ORD00194,CUST0321,05-21-2022,2022-05-25,pending,Wallet,mobile app,43719.91,13513.14,99,New York,TN
ORD00195,CUST0162,2022-05-22,,SHIPPED,  COD,online,38077.15,6366.83,199,Toronto,DL
ORD00196,CUST0630,05-23-2022,2022-05-24,Shipped,UPI,Mobile App,8730.53,,99,Ahmedabad,NSW
ORD00197,CUST0315,05-24-2022,2022-05-28,Pending,Wallet,In-Store,29821.44,2709.42,99,New York,DL
ORD00198,CUST0634,2022-05-24,,CANCELLED,  COD,Online,37121.73,3978.22,0,Kolkata,LDN
ORD00199,CUST0960,05-25-2022,2022-05-29,returned,Wallet,mobile app,16132.23,3806.99,0,New York,WB
ORD00200,CUST0232,26/05/2022,2022-06-02,CANCELLED,COD,In-Store,39072.53,7454.34,0,Sydney,NY
ORD00201,CUST0019,2022-05-27,2022-06-02,returned,Wallet,mobile app,15305.76,5182.1,149,New York,GJ
ORD00202,CUST0504,2022-05-27,,returned,Wallet,online,22834.97,8733.78,199,Toronto,GJ
ORD00203,CUST0709,28/05/2022,2022-06-02,Cancelled,Debit Card,IN-STORE,2656.34,773.25,0,Pune,KA
ORD00204,CUST0998,29/05/2022,2022-06-03,Delivered,Net Banking,Mobile App,32626.08,11172.99,149,Sydney,NY
ORD00205,CUST0732,05-30-2022,2022-06-02,pending,WALLET,IN-STORE,23420.96,6365.22,149,Toronto,DL
ORD00206,CUST0285,30/05/2022,2022-05-31,Returned,Debit Card,In-Store,46238.35,16670.39,0,Ahmedabad,NY
ORD00207,CUST0109,2022-05-31,2022-06-03,SHIPPED,WALLET,Online,34730.94,7216.63,199,Jaipur,TN
ORD00208,CUST0449,2022-06-01,2022-06-05,Shipped,credit card,Mobile App,46925.28,2799.61,149,Kolkata,MH
ORD00209,CUST0582,2022-06-01,2022-06-04,Shipped,Credit Card,mobile app,42171.85,187.12,199,Jaipur,TN
ORD00210,CUST0580,02/06/2022,2022-06-07,Cancelled,Net Banking,In-Store,22775.66,7664.08,199,New York,TS
ORD00211,CUST0985,06-03-2022,2022-06-08,returned,COD,online,-500.0,1958.29,149,Mumbai,LDN
ORD00212,CUST0660,04/06/2022,2022-06-09,returned,  COD,In-Store,12474.13,1332.28,149,Mumbai,GJ
ORD00213,CUST0423,2022-06-04,2022-06-09,pending,UPI,Online,1449.78,-100.0,149,Pune,LDN
ORD00214,CUST0322,05/06/2022,2022-06-10,returned,Net Banking,mobile app,23603.06,7472.34,0,Pune,MH
ORD00215,CUST0278,06-06-2022,2022-06-11,returned,credit card,mobile app,36771.29,6186.84,149,Delhi,MH
ORD00216,CUST0424,06-07-2022,2022-06-13,Pending,UPI ,Online,38827.47,9540.82,199,Sydney,MH
ORD00217,CUST0773,07/06/2022,2022-06-14,pending,  COD,online,21602.3,1883.98,99,London,NSW
ORD00218,CUST0397,08/06/2022,2022-06-09,Shipped,  COD,Mobile App,2429.87,457.52,49,Bangalore,GJ
ORD00219,CUST0157,06-09-2022,2022-06-13,delivered,Net Banking,mobile app,34018.89,2301.85,199,Kolkata,NSW
ORD00220,CUST0525,09/06/2022,,SHIPPED,  COD,Online,,4861.12,149,New York,NY
ORD00221,CUST0635,10/06/2022,,Delivered,UPI ,Mobile App,31920.26,10829.4,99,London,MH
ORD00222,CUST0509,06-11-2022,2022-06-13,Cancelled,Net Banking,Mobile App,5985.62,1090.37,99,Ahmedabad,GJ
ORD00223,CUST0710,2022-06-12,2022-06-14,Cancelled,credit card,In-Store,38273.21,11709.19,199,New York,GJ
ORD00224,CUST0200,06-12-2022,2022-06-19,CANCELLED,WALLET,Online,22194.82,3614.51,49,Kolkata,MH
ORD00225,CUST0368,13/06/2022,2022-06-20,pending,Net Banking,mobile app,3579.43,1092.45,199,Hyderabad,MH
ORD00226,CUST0103,06-14-2022,2022-06-19,CANCELLED,UPI,Online,43995.03,8351.43,199,New York,LDN
ORD00227,CUST0535,2022-06-15,,CANCELLED,Net Banking,Online,25497.61,6279.65,199,Hyderabad,RJ
ORD00228,CUST0621,2022-06-15,2022-06-20,delivered,  COD,online,24577.85,5523.65,149,Surat,RJ
ORD00229,CUST0818,06-16-2022,2022-06-19,Pending,Credit Card,Online,38496.27,11897.12,49,Hyderabad,ON
ORD00230,CUST0387,2022-06-17,2022-06-24,CANCELLED,Credit Card,Mobile App,45729.56,111.14,149,Chennai,TS
ORD00231,CUST0161,18/06/2022,2022-06-23,delivered,COD,Mobile App,13194.48,2138.69,99,Kolkata,GJ
