order_id,store_id,datetime,customer_id,item_id,quantity,total_amount,payment_mode,customer_type
ORD00027,102,2026-05-25 17:43:30,CUST-0292,20,2,320,Card,walk-in
ORD00028,104,2026-05-25 20:54:21,CUST-0284,20,2,320,Card,mobile-app
ORD00029,104,2026-05-25 19:14:20,CUST-0266,11,6,1290,Card,mobile-app
ORD00030,104,2026-05-25 11:04:10,CUST-0209,16,2,730,UPI,mobile-app
ORD00031,103,2026-05-25 10:27:23,CUST-0208,7,1,245,UPI,walk-in
ORD00032,105,2026-05-25 13:38:29,CUST-0086,15,5,1725,UPI,mobile-app
ORD00033,105,2026-05-25 09:03:11,CUST-0034,13,2,470,Cash,mobile-app
ORD00034,105,2026-05-25 20:34:43,CUST-0224,19,4,640,Cash,mobile-app
ORD00035,105,2026-05-25 12:53:33,CUST-0338,8,3,585,Cash,mobile-app
ORD00036,105,2026-05-25 13:33:10,CUST-0277,3,1,215,Cash,mobile-app
ORD00037,105,2026-05-25 19:25:15,CUST-0035,3,1,215,Cash,mobile-app
ORD00038,105,2026-05-25 19:00:20,CUST-0028,27,2,690,Cash,walk-in
ORD00039,103,2026-05-25 07:57:18,CUST-0251,11,1,215,UPI,mobile-app
ORD00040,101,2026-05-25 11:24:41,CUST-0198,22,1,160,UPI,mobile-app
ORD00041,103,2026-05-25 10:33:34,CUST-0115,17,1,375,Cash,mobile-app
ORD00042,103,2026-05-25 20:10:28,CUST-0002,26,2,390,Cash,mobile-app
ORD00043,104,2026-05-25 15:59:59,CUST-0233,26,2,390,UPI,mobile-app
ORD00044,101,2026-05-25 15:26:50,CUST-0323,10,9,1665,Card,walk-in
ORD00045,102,2026-05-25 18:43:56,CUST-0204,21,2,390,UPI,mobile-app
ORD00046,104,2026-05-25 16:49:48,CUST-0305,19,2,320,UPI,walk-in
ORD00047,103,2026-05-25 15:06:47,CUST-0254,26,8,1560,Cash,mobile-app
ORD00048,104,2026-05-25 07:39:08,CUST-0070,33,2,730,Card,mobile-app
ORD00049,102,2026-05-25 13:48:00,CUST-0141,26,1,195,UPI,walk-in
ORD00050,101,2026-05-25 10:06:14,CUST-0242,9,2,470,UPI,walk-in
ORD00051,101,2026-05-25 17:16:59,CUST-0193,14,7,1715,UPI,mobile-app
ORD00052,104,2026-05-25 07:57:32,CUST-0112,11,2,430,Cash,mobile-app
ORD00053,104,2026-05-25 17:16:30,CUST-0264,30,2,730,Cash,walk-in
ORD00054,105,2026-05-25 09:43:29,CUST-0227,20,3,480,UPI,walk-in
ORD00055,103,2026-05-25 19:48:54,CUST-0168,24,1,325,UPI,mobile-app
ORD00056,103,2026-05-25 20:08:37,CUST-0241,16,6,2190,Cash,mobile-app
ORD00057,101,2026-05-25 07:02:34,CUST-0322,19,2,320,UPI,mobile-app
ORD00058,105,2026-05-25 17:21:46,CUST-0237,8,1,195,Cash,mobile-app
ORD00059,102,2026-05-25 21:55:00,CUST-0203,3,2,430,Cash,mobile-app
ORD00060,103,2026-05-25 19:19:30,CUST-0118,22,1,160,Cash,mobile-app
ORD00061,102,2026-05-25 16:39:00,CUST-0097,9,1,235,Cash,mobile-app
ORD00062,102,2026-05-25 13:00:24,CUST-0123,30,1,365,UPI,mobile-app
ORD00063,102,2026-05-25 17:01:39,CUST-0075,15,1,345,UPI,mobile-app
ORD00064,104,2026-05-25 19:05:56,CUST-0314,10,5,925,UPI,walk-in
ORD00065,105,2026-05-25 18:47:40,CUST-0091,9,1,235,UPI,mobile-app
ORD00066,105,2026-05-25 19:46:47,CUST-0082,16,1,365,UPI,mobile-app
ORD00067,102,2026-05-25 12:11:07,CUST-0201,4,2,390,Cash,walk-in
ORD00068,105,2026-05-25 17:27:24,CUST-0233,20,1,160,Cash,mobile-app
ORD00069,104,2026-05-25 20:31:56,CUST-0184,18,2,690,Cash,mobile-app
ORD00070,103,2026-05-25 07:07:27,CUST-0122,21,3,585,Cash,walk-in
ORD00071,101,2026-05-25 10:06:54,CUST-0177,34,1,265,UPI,mobile-app
ORD00072,101,2026-05-25 12:32:25,CUST-0063,35,2,550,Cash,mobile-app
ORD00073,103,2026-05-25 10:09:12,CUST-0180,20,2,320,Cash,walk-in
ORD00074,104,2026-05-25 08:06:50,CUST-0005,1,1,245,Cash,mobile-app
ORD00075,102,2026-05-25 15:10:56,CUST-0286,31,1,365,Cash,mobile-app
ORD00076,102,2026-05-25 20:10:59,CUST-0343,14,2,490,Cash,walk-in
ORD00077,101,2026-05-25 07:53:48,CUST-0227,2,1,235,UPI,mobile-app
ORD00078,101,2026-05-25 09:23:35,CUST-0266,31,1,365,UPI,mobile-app
ORD00079,102,2026-05-25 07:35:30,CUST-0047,34,1,265,UPI,mobile-app
ORD00080,103,2026-05-25 16:21:12,CUST-0014,11,1,215,UPI,mobile-app
ORD00081,104,2026-05-25 16:25:32,CUST-0125,19,1,160,Cash,mobile-app
ORD00082,103,2026-05-25 09:23:16,CUST-0260,23,2,650,Cash,walk-in
ORD00083,103,2026-05-25 14:01:22,CUST-0289,35,2,550,UPI,mobile-app
ORD00084,104,2026-05-25 19:05:54,CUST-0290,29,1,215,UPI,mobile-app
ORD00085,104,2026-05-25 14:20:59,CUST-0214,17,1,375,Cash,walk-in
ORD00086,105,2026-05-25 18:54:28,CUST-0202,7,1,245,UPI,mobile-app
ORD00087,102,2026-05-25 20:56:05,CUST-0166,28,2,630,Cash,walk-in
ORD00088,104,2026-05-25 21:14:07,CUST-0180,29,1,215,UPI,mobile-app
ORD00089,103,2026-05-25 15:08:03,CUST-0241,9,1,235,UPI,mobile-app
ORD00090,105,2026-05-25 11:02:23,CUST-0295,6,1,175,UPI,walk-in
ORD00091,102,2026-05-25 08:23:45,CUST-0255,12,1,175,UPI,mobile-app
ORD00092,101,2026-05-25 11:08:52,CUST-0214,13,2,470,Cash,walk-in
ORD00093,104,2026-05-25 13:57:40,CUST-0102,33,1,365,Cash,mobile-app
ORD00094,105,2026-05-25 18:57:31,CUST-0048,12,1,175,Cash,walk-in
ORD00095,104,2026-05-25 19:13:01,CUST-0338,1,1,245,Cash,mobile-app
ORD00096,101,2026-05-25 21:53:44,CUST-0246,28,2,630,Cash,mobile-app
ORD00097,105,2026-05-25 11:47:48,CUST-0214,12,1,175,Cash,walk-in
ORD00098,105,2026-05-25 13:24:11,CUST-0086,30,4,1460,UPI,walk-in
ORD00099,105,2026-05-25 09:18:01,CUST-0028,25,1,295,Cash,mobile-app
ORD00100,101,2026-05-25 07:50:25,CUST-0088,12,1,175,Card,mobile-app
ORD00101,105,2026-05-25 19:37:12,CUST-0227,27,1,345,UPI,mobile-app
ORD00102,103,2026-05-25 09:24:26,CUST-0211,34,2,530,UPI,walk-in
ORD00103,104,2026-05-25 21:30:24,CUST-0007,6,2,350,Cash,mobile-app
ORD00104,102,2026-05-25 21:27:24,CUST-0167,2,1,235,UPI,walk-in
ORD00105,103,2026-05-25 17:07:47,CUST-0097,23,1,325,UPI,mobile-app
ORD00106,103,2026-05-25 14:29:31,CUST-0132,33,1,365,Cash,walk-in
ORD00107,101,2026-05-25 13:56:51,CUST-0129,15,2,690,Cash,mobile-app
ORD00108,105,2026-05-25 20:41:40,CUST-0113,26,1,195,Cash,mobile-app
ORD00109,105,2026-05-25 14:29:37,CUST-0223,27,2,690,UPI,mobile-app
ORD00110,104,2026-05-25 11:27:40,CUST-0323,30,1,365,Cash,mobile-app
ORD00111,101,2026-05-25 20:31:58,CUST-0248,18,1,345,Cash,walk-in
ORD00112,101,2026-05-25 09:52:24,CUST-0214,34,2,530,UPI,mobile-app
ORD00113,103,2026-05-25 16:33:58,CUST-0026,34,3,795,Cash,mobile-app
ORD00114,105,2026-05-25 16:27:48,CUST-0295,21,2,390,UPI,mobile-app
ORD00115,104,2026-05-25 10:03:56,CUST-0028,1,1,245,Cash,mobile-app
ORD00116,101,2026-05-25 14:35:01,CUST-0077,29,1,215,Cash,mobile-app
ORD00117,104,2026-05-25 18:12:29,CUST-0148,7,1,245,Cash,mobile-app
ORD00118,105,2026-05-25 07:07:02,CUST-0313,32,1,325,UPI,mobile-app
ORD00119,104,2026-05-25 17:11:09,CUST-0103,20,2,320,Cash,walk-in
ORD00120,101,2026-05-25 13:19:01,CUST-0155,15,1,345,UPI,walk-in
ORD00121,102,2026-05-25 10:05:20,CUST-0209,26,2,390,Cash,mobile-app
ORD00122,103,2026-05-25 20:07:22,CUST-0056,28,1,315,UPI,mobile-app
ORD00123,101,2026-05-25 14:33:44,CUST-0197,4,3,585,Card,walk-in
ORD00124,103,2026-05-25 18:53:27,CUST-0090,30,1,365,UPI,walk-in
ORD00125,101,2026-05-25 07:31:44,CUST-0020,14,1,245,UPI,walk-in
ORD00126,104,2026-05-25 13:02:42,CUST-0178,19,2,320,Cash,mobile-app
ORD00127,101,2026-05-25 08:57:19,CUST-0265,27,1,345,Cash,mobile-app
ORD00128,104,2026-05-25 16:49:07,CUST-0042,34,1,265,Card,walk-in
ORD00129,105,2026-05-25 20:11:15,CUST-0326,23,2,650,Cash,walk-in
ORD00130,105,2026-05-25 12:33:07,CUST-0118,17,1,375,Card,walk-in
ORD00131,103,2026-05-25 15:30:40,CUST-0197,26,1,195,UPI,walk-in
ORD00132,105,2026-05-25 19:05:24,CUST-0137,17,1,375,Cash,mobile-app
ORD00133,101,2026-05-25 18:48:46,CUST-0090,15,5,1725,Card,walk-in
ORD00134,104,2026-05-25 14:47:53,CUST-0115,16,2,730,Cash,mobile-app
ORD00135,101,2026-05-25 11:11:26,CUST-0236,19,2,320,Cash,walk-in
ORD00136,104,2026-05-25 13:14:27,CUST-0141,30,1,365,Cash,walk-in
ORD00137,101,2026-05-25 16:57:49,CUST-0216,11,1,215,UPI,walk-in
ORD00138,103,2026-05-25 16:10:30,CUST-0177,16,2,730,Cash,mobile-app
ORD00139,104,2026-05-25 18:42:05,CUST-0107,31,2,730,Cash,mobile-app
ORD00140,104,2026-05-25 18:39:51,CUST-0016,3,3,645,UPI,mobile-app
ORD00141,101,2026-05-25 11:43:17,CUST-0339,2,9,2115,UPI,mobile-app
ORD00142,104,2026-05-25 10:00:07,CUST-0143,26,2,390,Cash,walk-in
ORD00143,103,2026-05-25 17:16:49,CUST-0217,20,3,480,UPI,mobile-app
ORD00144,105,2026-05-25 14:35:58,CUST-0139,27,1,345,Cash,mobile-app
ORD00145,101,2026-05-25 11:18:34,CUST-0326,7,1,245,Cash,mobile-app
ORD00146,105,2026-05-25 08:56:23,CUST-0135,27,2,690,UPI,mobile-app
ORD00147,105,2026-05-25 08:39:07,CUST-0253,23,1,325,Cash,mobile-app
ORD00148,103,2026-05-25 11:29:36,CUST-0282,1,2,490,Cash,walk-in
ORD00149,103,2026-05-25 08:51:26,CUST-0011,27,1,345,UPI,mobile-app
ORD00150,102,2026-05-25 19:43:36,CUST-0011,14,1,245,Cash,walk-in
ORD00151,105,2026-05-25 07:17:39,CUST-0173,8,1,195,UPI,mobile-app
ORD00152,105,2026-05-25 15:44:11,CUST-0310,31,1,365,UPI,mobile-app
ORD00153,102,2026-05-25 14:27:16,CUST-0042,27,1,345,UPI,mobile-app
ORD00154,104,2026-05-25 10:35:47,CUST-0265,27,2,690,UPI,mobile-app
ORD00155,101,2026-05-25 21:28:37,CUST-0126,3,4,860,Cash,mobile-app
ORD00156,105,2026-05-25 08:26:18,CUST-0201,25,1,295,Cash,mobile-app
ORD00157,104,2026-05-25 20:45:53,CUST-0322,22,1,160,Cash,mobile-app
ORD00158,103,2026-05-25 09:07:04,CUST-0349,13,1,235,Cash,mobile-app
ORD00159,101,2026-05-25 16:00:25,CUST-0088,30,1,365,Cash,mobile-app
ORD00160,103,2026-05-25 21:56:26,CUST-0312,22,4,640,Cash,mobile-app
ORD00161,102,2026-05-25 09:45:30,CUST-0289,18,1,345,Card,mobile-app
ORD00162,102,2026-05-25 15:20:50,CUST-0117,34,1,265,Cash,walk-in
ORD00163,101,2026-05-25 10:13:22,CUST-0198,35,5,1375,UPI,mobile-app
ORD00164,102,2026-05-25 15:24:56,CUST-0297,15,1,345,Cash,mobile-app
ORD00165,101,2026-05-25 11:21:22,CUST-0271,11,4,860,UPI,walk-in
ORD00166,104,2026-05-25 19:47:51,CUST-0262,28,1,315,Cash,mobile-app
ORD00167,103,2026-05-25 15:48:55,CUST-0171,22,1,160,Cash,mobile-app
ORD00168,103,2026-05-25 10:02:24,CUST-0322,2,2,470,Cash,mobile-app
ORD00169,105,2026-05-25 11:12:59,CUST-0155,34,1,265,Cash,walk-in
ORD00170,105,2026-05-25 19:39:01,CUST-0147,26,4,780,UPI,walk-in
ORD00171,104,2026-05-25 18:42:14,CUST-0342,1,1,245,Cash,mobile-app
ORD00172,103,2026-05-25 16:21:04,CUST-0280,11,1,215,Card,walk-in
ORD00173,105,2026-05-25 15:06:25,CUST-0310,21,6,1170,UPI,walk-in
ORD00174,101,2026-05-25 17:06:34,CUST-0324,6,3,525,Cash,mobile-app
ORD00175,105,2026-05-25 12:28:40,CUST-0175,18,3,1035,Cash,walk-in
ORD00176,103,2026-05-25 13:30:01,CUST-0184,16,4,1460,UPI,mobile-app
ORD00177,102,2026-05-25 17:48:42,CUST-0237,21,1,195,Cash,mobile-app
ORD00178,105,2026-05-25 17:36:04,CUST-0329,9,3,705,Cash,mobile-app
ORD00179,105,2026-05-25 18:11:33,CUST-0131,13,1,235,UPI,walk-in
ORD00180,102,2026-05-25 14:15:37,CUST-0139,5,2,450,Card,mobile-app
ORD00181,101,2026-05-25 10:04:14,CUST-0287,3,3,645,Cash,walk-in
ORD00182,105,2026-05-25 14:16:48,CUST-0265,10,3,555,Cash,mobile-app
ORD00183,101,2026-05-25 08:00:57,CUST-0158,1,1,245,UPI,walk-in
ORD00184,103,2026-05-25 07:23:23,CUST-0310,29,1,215,Cash,mobile-app
ORD00185,104,2026-05-25 12:34:12,CUST-0065,28,6,1890,UPI,mobile-app
ORD00186,104,2026-05-25 10:23:10,CUST-0003,11,2,430,Cash,mobile-app
ORD00187,101,2026-05-25 21:17:55,CUST-0254,31,1,365,Cash,walk-in
ORD00188,105,2026-05-25 15:33:52,CUST-0093,20,1,160,Card,walk-in
ORD00189,105,2026-05-25 20:06:14,CUST-0123,25,1,295,UPI,mobile-app
ORD00190,103,2026-05-25 17:46:22,CUST-0260,34,3,795,UPI,walk-in
ORD00191,102,2026-05-25 13:21:50,CUST-0014,23,2,650,Cash,mobile-app
ORD00192,101,2026-05-25 18:20:00,CUST-0091,29,1,215,Cash,walk-in
ORD00193,101,2026-05-25 21:22:37,CUST-0134,19,2,320,Cash,mobile-app
ORD00194,102,2026-05-25 11:00:19,CUST-0127,22,1,160,Cash,mobile-app
ORD00195,105,2026-05-25 13:39:21,CUST-0210,28,2,630,UPI,walk-in
ORD00196,103,2026-05-25 11:29:04,CUST-0338,19,1,160,Cash,mobile-app
ORD00197,101,2026-05-25 13:22:04,CUST-0069,5,1,225,Cash,mobile-app
ORD00198,104,2026-05-25 19:26:30,CUST-0164,30,3,1095,Cash,mobile-app
ORD00199,101,2026-05-25 08:11:24,CUST-0143,28,1,315,UPI,mobile-app
ORD00200,103,2026-05-25 09:25:44,CUST-0326,5,2,450,Cash,mobile-app
ORD00201,105,2026-05-25 19:43:36,CUST-0260,20,2,320,UPI,walk-in
ORD00202,103,2026-05-25 09:20:38,CUST-0299,34,1,265,Card,mobile-app
ORD00203,104,2026-05-25 15:56:28,CUST-0286,17,2,750,UPI,mobile-app
ORD00204,104,2026-05-25 17:34:59,CUST-0090,28,2,630,UPI,walk-in
ORD00205,105,2026-05-25 20:44:13,CUST-0308,20,3,480,UPI,walk-in
ORD00206,105,2026-05-25 21:05:43,CUST-0096,16,2,730,UPI,mobile-app
ORD00207,103,2026-05-25 13:52:26,CUST-0121,32,1,325,Cash,mobile-app
ORD00208,101,2026-05-25 08:22:13,CUST-0201,29,2,430,UPI,mobile-app
ORD00209,105,2026-05-25 11:56:24,CUST-0148,23,2,650,Cash,mobile-app
ORD00210,101,2026-05-25 12:33:55,CUST-0176,15,2,690,Cash,walk-in
ORD00211,101,2026-05-25 18:01:58,CUST-0043,6,3,525,UPI,walk-in
ORD00212,105,2026-05-25 18:47:01,CUST-0306,21,3,585,Cash,mobile-app
ORD00213,104,2026-05-25 19:11:57,CUST-0203,1,4,980,UPI,mobile-app
ORD00214,103,2026-05-25 09:53:16,CUST-0014,3,1,215,UPI,mobile-app
ORD00215,102,2026-05-25 07:48:29,CUST-0339,15,1,345,UPI,mobile-app
ORD00216,104,2026-05-25 21:57:47,CUST-0177,14,2,490,Card,walk-in
ORD00217,105,2026-05-25 12:51:29,CUST-0344,21,1,195,UPI,walk-in
ORD00218,103,2026-05-25 16:34:40,CUST-0039,4,2,390,UPI,walk-in
ORD00219,103,2026-05-25 15:49:51,CUST-0188,4,9,1755,Cash,mobile-app
ORD00220,102,2026-05-25 15:01:51,CUST-0337,25,1,295,UPI,mobile-app
ORD00221,103,2026-05-25 11:47:54,CUST-0021,33,4,1460,Cash,walk-in
ORD00222,101,2026-05-25 17:25:59,CUST-0057,34,1,265,Cash,mobile-app
ORD00223,105,2026-05-25 16:25:51,CUST-0091,15,3,1035,Card,mobile-app
ORD00224,101,2026-05-25 08:24:48,CUST-0081,18,1,345,UPI,walk-in
ORD00225,104,2026-05-25 13:33:39,CUST-0347,23,3,975,UPI,walk-in
ORD00226,103,2026-05-25 08:58:34,CUST-0033,18,2,690,UPI,mobile-app
ORD00227,104,2026-05-25 20:40:02,CUST-0149,34,2,530,UPI,mobile-app
ORD00228,103,2026-05-25 07:31:23,CUST-0002,7,1,245,UPI,walk-in
ORD00229,104,2026-05-25 10:44:00,CUST-0211,16,2,730,Cash,mobile-app
ORD00230,102,2026-05-25 16:28:40,CUST-0150,21,3,585,UPI,walk-in
ORD00231,102,2026-05-25 07:00:30,CUST-0334,27,2,690,UPI,mobile-app
ORD00232,103,2026-05-25 11:12:50,CUST-0170,20,1,160,Cash,mobile-app
ORD00233,105,2026-05-25 11:41:18,CUST-0344,20,2,320,UPI,mobile-app
ORD00234,103,2026-05-25 09:36:56,CUST-0268,3,3,645,Cash,walk-in
ORD00235,103,2026-05-25 07:33:16,CUST-0035,20,1,160,UPI,mobile-app
ORD00236,103,2026-05-25 10:46:19,CUST-0165,12,1,175,Cash,mobile-app
ORD00237,104,2026-05-25 09:01:38,CUST-0178,7,1,245,Cash,walk-in
ORD00238,103,2026-05-25 09:55:11,CUST-0089,35,6,1650,Cash,mobile-app
ORD00239,103,2026-05-25 21:11:04,CUST-0046,18,3,1035,UPI,walk-in
ORD00240,103,2026-05-25 17:34:40,CUST-0096,19,2,320,Cash,mobile-app
ORD00241,103,2026-05-25 07:48:18,CUST-0253,33,2,730,Card,walk-in
ORD00242,105,2026-05-25 10:04:45,CUST-0007,8,2,390,Cash,mobile-app
ORD00243,105,2026-05-25 07:27:06,CUST-0118,12,3,525,UPI,mobile-app
ORD00244,105,2026-05-25 20:17:17,CUST-0237,21,1,195,UPI,mobile-app
ORD00245,105,2026-05-25 14:47:28,CUST-0015,21,1,195,Cash,mobile-app
ORD00246,101,2026-05-25 15:09:01,CUST-0159,25,3,885,Cash,walk-in
ORD00247,104,2026-05-25 12:20:21,CUST-0124,15,5,1725,Cash,mobile-app
ORD00248,105,2026-05-25 19:28:48,CUST-0329,12,1,175,Cash,mobile-app
ORD00249,102,2026-05-25 16:22:59,CUST-0238,22,2,320,Cash,mobile-app
ORD00250,105,2026-05-25 09:33:10,CUST-0092,20,8,1280,UPI,mobile-app
ORD00251,101,2026-05-25 15:59:45,CUST-0129,19,1,160,UPI,walk-in
ORD00252,105,2026-05-25 21:50:32,CUST-0159,25,3,885,Cash,mobile-app
ORD00253,101,2026-05-25 21:56:38,CUST-0050,35,1,275,Cash,mobile-app
ORD00254,103,2026-05-25 12:32:27,CUST-0127,16,2,730,Cash,mobile-app
ORD00255,102,2026-05-25 13:05:22,CUST-0228,31,2,730,Cash,walk-in
ORD00256,103,2026-05-25 20:53:18,CUST-0225,7,2,490,Cash,walk-in
ORD00257,102,2026-05-25 15:36:33,CUST-0141,3,1,215,Cash,mobile-app
ORD00258,102,2026-05-25 07:00:34,CUST-0265,8,3,585,UPI,walk-in
ORD00259,103,2026-05-25 11:51:10,CUST-0043,33,1,365,Card,walk-in
ORD00260,102,2026-05-25 13:20:43,CUST-0220,5,3,675,Cash,mobile-app
ORD00261,105,2026-05-25 17:46:16,CUST-0349,25,3,885,Cash,walk-in
ORD00262,103,2026-05-25 16:35:57,CUST-0182,22,3,480,Cash,walk-in
ORD00263,103,2026-05-25 21:14:38,CUST-0013,32,5,1625,Cash,walk-in
ORD00264,104,2026-05-25 20:45:46,CUST-0292,8,2,390,UPI,walk-in
ORD00265,103,2026-05-25 11:09:35,CUST-0007,15,1,345,Card,mobile-app
ORD00266,103,2026-05-25 11:21:03,CUST-0016,17,2,750,UPI,walk-in
ORD00267,102,2026-05-25 13:29:33,CUST-0002,25,1,295,UPI,walk-in
ORD00268,104,2026-05-25 19:15:38,CUST-0144,18,2,690,Cash,mobile-app
ORD00269,105,2026-05-25 10:03:46,CUST-0267,10,1,185,UPI,walk-in
ORD00270,104,2026-05-25 19:12:42,CUST-0072,14,2,490,Cash,mobile-app
ORD00271,104,2026-05-25 20:59:26,CUST-0158,30,1,365,UPI,mobile-app
ORD00272,105,2026-05-25 14:25:44,CUST-0341,11,2,430,UPI,walk-in
ORD00273,104,2026-05-25 11:48:46,CUST-0347,35,2,550,UPI,mobile-app
ORD00274,103,2026-05-25 07:49:27,CUST-0153,33,1,365,UPI,walk-in
ORD00275,102,2026-05-25 11:04:12,CUST-0132,25,2,590,Cash,walk-in
ORD00276,103,2026-05-25 16:42:44,CUST-0189,23,2,650,Cash,mobile-app
ORD00277,104,2026-05-25 09:41:36,CUST-0098,2,1,235,UPI,walk-in
ORD00278,103,2026-05-25 11:10:50,CUST-0157,34,2,530,UPI,mobile-app
ORD00279,103,2026-05-25 09:25:10,CUST-0278,35,2,550,UPI,walk-in
ORD00280,104,2026-05-25 17:49:57,CUST-0131,24,1,325,UPI,mobile-app
ORD00281,103,2026-05-25 18:21:57,CUST-0297,33,1,365,Cash,mobile-app
ORD00282,104,2026-05-25 11:39:37,CUST-0293,2,2,470,Cash,mobile-app
ORD00283,101,2026-05-25 18:52:52,CUST-0256,18,3,1035,UPI,mobile-app
ORD00284,104,2026-05-25 09:57:04,CUST-0337,27,3,1035,UPI,mobile-app
ORD00285,102,2026-05-25 20:48:43,CUST-0148,11,2,430,UPI,walk-in
ORD00286,104,2026-05-25 16:17:13,CUST-0161,33,1,365,UPI,mobile-app
ORD00287,104,2026-05-25 19:02:02,CUST-0185,13,1,235,Cash,walk-in
ORD00288,101,2026-05-25 15:28:00,CUST-0216,11,1,215,UPI,mobile-app
ORD00289,102,2026-05-25 07:32:09,CUST-0274,32,1,325,Cash,mobile-app
ORD00290,102,2026-05-25 15:33:38,CUST-0075,26,1,195,Cash,walk-in
ORD00291,103,2026-05-25 07:32:46,CUST-0150,18,2,690,UPI,mobile-app
ORD00292,104,2026-05-25 19:38:46,CUST-0285,19,2,320,UPI,walk-in
ORD00293,105,2026-05-25 16:16:29,CUST-0204,34,2,530,Card,walk-in
ORD00294,103,2026-05-25 16:39:06,CUST-0079,26,2,390,Cash,mobile-app
ORD00295,104,2026-05-25 20:13:47,CUST-0234,28,1,315,Cash,mobile-app
ORD00296,101,2026-05-25 14:01:08,CUST-0108,35,4,1100,UPI,mobile-app
ORD00297,102,2026-05-25 08:21:41,CUST-0148,8,3,585,UPI,walk-in
ORD00298,104,2026-05-25 14:29:42,CUST-0248,26,1,195,UPI,walk-in
ORD00299,105,2026-05-25 10:42:07,CUST-0261,20,1,160,Cash,mobile-app
ORD00300,103,2026-05-26 18:32:26,CUST-0042,31,2,730,Cash,mobile-app
ORD00301,102,2026-05-26 09:48:24,CUST-0102,22,2,320,Cash,walk-in
ORD00302,101,2026-05-26 07:08:06,CUST-0044,10,2,370,UPI,mobile-app
ORD00303,102,2026-05-26 12:23:47,CUST-0043,9,5,1175,UPI,mobile-app
ORD00304,102,2026-05-26 16:40:39,CUST-0042,18,9,3105,UPI,mobile-app
ORD00305,102,2026-05-26 14:47:10,CUST-0344,7,4,980,UPI,mobile-app
ORD00306,105,2026-05-26 17:10:08,CUST-0130,18,2,690,Cash,mobile-app
ORD00307,102,2026-05-26 15:00:22,CUST-0011,20,2,320,Cash,walk-in
ORD00308,104,2026-05-26 07:37:13,CUST-0080,13,1,235,UPI,mobile-app
ORD00309,105,2026-05-26 15:09:27,CUST-0088,8,1,195,Cash,walk-in
ORD00310,103,2026-05-26 16:07:45,CUST-0321,14,6,1470,UPI,walk-in
ORD00311,103,2026-05-26 19:47:04,CUST-0029,7,3,735,UPI,walk-in
ORD00312,104,2026-05-26 07:33:32,CUST-0212,23,2,650,UPI,walk-in
ORD00313,105,2026-05-26 17:45:58,CUST-0182,19,3,480,UPI,walk-in
ORD00314,102,2026-05-26 12:58:22,CUST-0319,34,1,265,Cash,mobile-app
ORD00315,105,2026-05-26 16:55:37,CUST-0147,11,2,430,Cash,walk-in
ORD00316,103,2026-05-26 07:46:54,CUST-0316,31,3,1095,Cash,mobile-app
ORD00317,103,2026-05-26 09:34:19,CUST-0187,19,1,160,UPI,mobile-app
ORD00318,103,2026-05-26 11:21:24,CUST-0283,20,2,320,Cash,mobile-app
